id,name,total,over_votes,under_votes,Write-in,Eric Chung,Tim Greimel,Christina Bertrand Hines
1256902000001,"Rochester, Precinct 1",800,,,0,203,313,284
1256902000002,"Rochester, Precinct 2",836,,,2,207,313,314
1256902000003,"Rochester, Precinct 3",572,,,0,169,184,219
1256903501001,"Rochester Hills, Precinct 1",613,,,2,162,286,163
1256903501002,"Rochester Hills, Precinct 2",557,,,1,130,250,176
1256903501003,"Rochester Hills, Precinct 3",565,,,0,147,209,209
1256903501004,"Rochester Hills, Precinct 4",690,,,1,157,341,191
1256903501005,"Rochester Hills, Precinct 5",640,,,0,124,270,246
1256903501006,"Rochester Hills, Precinct 6",661,,,3,188,236,234
1256903502007,"Rochester Hills, Precinct 7",1029,,,1,256,502,270
1256903502008,"Rochester Hills, Precinct 8",914,,,1,197,391,325
1256903502009,"Rochester Hills, Precinct 9",756,,,1,199,279,277
1256903502010,"Rochester Hills, Precinct 10",277,,,0,92,111,74
1256903502011,"Rochester Hills, Precinct 11",457,,,0,125,165,167
1256903503012,"Rochester Hills, Precinct 12",923,,,0,245,314,364
1256903503013,"Rochester Hills, Precinct 13",609,,,0,173,205,231
1256903503014,"Rochester Hills, Precinct 14",615,,,4,173,223,215
1256903503015,"Rochester Hills, Precinct 15",735,,,0,262,192,281
1256903503016,"Rochester Hills, Precinct 16",391,,,4,145,109,133
1256903504017,"Rochester Hills, Precinct 17",753,,,1,206,261,285
1256903504018,"Rochester Hills, Precinct 18",334,,,3,79,82,170
1256903504019,"Rochester Hills, Precinct 19",408,,,1,148,129,130
1256903504020,"Rochester Hills, Precinct 20",724,,,3,232,205,284
1256903504021,"Rochester Hills, Precinct 21",320,,,1,109,73,137
