id,name,total,over_votes,under_votes,Write-in,Ray Pooley
1250040000001,"Addison Township, Precinct 1",56,,,1,55
1250040000002,"Addison Township, Precinct 2",65,,,1,64
1250040000003,"Addison Township, Precinct 3",28,,,3,25
1251004000001,"Brandon Township, Precinct 1",90,,,0,90
1251004000002,"Brandon Township, Precinct 2",87,,,0,87
1251004000003,"Brandon Township, Precinct 3",95,,,1,94
1251004000004,"Brandon Township, Precinct 4",112,,,2,110
1251004000005,"Brandon Township, Precinct 5",69,,,1,68
1251004000006,"Brandon Township, Precinct 6",90,,,0,90
1253564000001,"Groveland Township, Precinct 1",31,,,1,30
1253564000002,"Groveland Township, Precinct 2",64,,,1,63
1253564000003,"Groveland Township, Precinct 3",93,,,1,92
1253808000001,"Highland Township, Precinct 1",153,,,1,152
1253808000002,"Highland Township, Precinct 2",121,,,0,121
1253808000003,"Highland Township, Precinct 3",127,,,0,127
1253808000004,"Highland Township, Precinct 4",120,,,1,119
1253808000005,"Highland Township, Precinct 5",76,,,1,75
1253872000001,"Holly Township, Precinct 1",171,,,0,171
1253872000002,"Holly Township, Precinct 2",140,,,1,139
1253872000003,"Holly Township, Precinct 3",164,,,0,164
1253872000004,"Holly Township, Precinct 4",144,,,0,144
1254040000001,"Independence Township, Precinct 1",113,,,1,112
1254040000002,"Independence Township, Precinct 2",180,,,1,179
1254040000003,"Independence Township, Precinct 3",177,,,2,175
1254040000004,"Independence Township, Precinct 4",214,,,0,214
1254040000005,"Independence Township, Precinct 5",225,,,1,224
1254040000006,"Independence Township, Precinct 6",246,,,1,245
1254040000007,"Independence Township, Precinct 7",176,,,2,174
1254040000008,"Independence Township, Precinct 8",182,,,4,178
1255398000001,"Milford Township, Precinct 1",121,,,0,121
1255398000005,"Milford Township, Precinct 5",188,,,2,186
1255398000007,"Milford Township, Precinct 7",84,,,2,82
1255982000001,"Oakland Township, Precinct 1",97,,,0,97
1255982000002,"Oakland Township, Precinct 2",147,,,2,145
1255982000003,"Oakland Township, Precinct 3",146,,,1,145
1255982000004,"Oakland Township, Precinct 4",67,,,0,67
1255982000005,"Oakland Township, Precinct 5",170,,,0,170
1255982000006,"Oakland Township, Precinct 6",113,,,0,113
1256110000001,"Orion Township, Precinct 1",257,,,3,254
1256110000002,"Orion Township, Precinct 2",120,,,1,119
1256110000003,"Orion Township, Precinct 3",120,,,3,117
1256110000004,"Orion Township, Precinct 4",113,,,1,112
1256110000005,"Orion Township, Precinct 5",135,,,1,134
1256110000006,"Orion Township, Precinct 6",107,,,0,107
1256110000007,"Orion Township, Precinct 7",219,,,0,219
1256110000008,"Orion Township, Precinct 8",182,,,0,182
1256110000009,"Orion Township, Precinct 9",167,,,1,166
1256110000010,"Orion Township, Precinct 10",143,,,3,140
1256110000011,"Orion Township, Precinct 11",203,,,3,200
1256204000001,"Oxford Township, Precinct 1",164,,,2,162
1256204000002,"Oxford Township, Precinct 2",235,,,1,234
1256204000003,"Oxford Township, Precinct 3",289,,,1,288
1256204000004,"Oxford Township, Precinct 4",177,,,3,174
1256204000005,"Oxford Township, Precinct 5",121,,,2,119
1256958000001,"Rose Township, Precinct 1",73,,,1,72
1256958000002,"Rose Township, Precinct 2",73,,,0,73
1256958000003,"Rose Township, Precinct 3",79,,,1,78
1257576000001,"Springfield Township, Precinct 1",145,,,0,145
1257576000002,"Springfield Township, Precinct 2",103,,,0,103
1257576000003,"Springfield Township, Precinct 3",127,,,2,125
1257576000004,"Springfield Township, Precinct 4",167,,,0,167
1257576000005,"Springfield Township, Precinct 5",98,,,4,94
1258686000001,"White Lake Township, Precinct 1",35,,,1,34
1258245000001,"Clarkston, Precinct 1",141,,,1,140
492776000002,"Fenton, Precinct 2",0,,,0,0
