id,name,total,over_votes,under_votes,Write-in,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib
1257492000001,"Southfield Township, Precinct 1",281,,,0,44,35,202
1257492000002,"Southfield Township, Precinct 2",305,,,0,47,52,206
1257492000003,"Southfield Township, Precinct 3",198,,,0,33,27,138
1257492000004,"Southfield Township, Precinct 4",162,,,0,19,26,117
1257492000005,"Southfield Township, Precinct 5",339,,,1,61,72,205
1257492000006,"Southfield Township, Precinct 6",201,,,1,47,28,125
1257492000007,"Southfield Township, Precinct 7",469,,,1,143,111,214
1254632000001,"Lathrup Village, Precinct 1",658,,,0,119,51,488
1257490000001,"Southfield, Precinct 1",410,,,0,100,26,284
1257490000002,"Southfield, Precinct 2",475,,,0,126,57,292
1257490000003,"Southfield, Precinct 3",305,,,1,58,28,218
1257490000004,"Southfield, Precinct 4",365,,,0,87,26,252
1257490000005,"Southfield, Precinct 5",231,,,1,51,13,166
1257490000006,"Southfield, Precinct 6",355,,,0,81,57,217
1257490000007,"Southfield, Precinct 7",408,,,0,94,36,278
1257490000008,"Southfield, Precinct 8",305,,,1,68,19,217
1257490000009,"Southfield, Precinct 9",265,,,0,41,28,196
1257490000010,"Southfield, Precinct 10",316,,,0,86,26,204
1257490000011,"Southfield, Precinct 11",356,,,0,89,24,243
1257490000012,"Southfield, Precinct 12",344,,,0,84,34,226
1257490000013,"Southfield, Precinct 13",483,,,0,169,102,212
1257490000014,"Southfield, Precinct 14",321,,,0,137,65,119
1257490000015,"Southfield, Precinct 15",256,,,0,60,30,166
1257490000016,"Southfield, Precinct 16",319,,,0,86,16,217
1257490000017,"Southfield, Precinct 17",324,,,0,108,60,156
1257490000018,"Southfield, Precinct 18",264,,,0,62,23,179
1257490000019,"Southfield, Precinct 19",214,,,0,48,14,152
1257490000020,"Southfield, Precinct 20",360,,,0,88,21,251
1257490000021,"Southfield, Precinct 21",403,,,0,68,33,302
1257490000022,"Southfield, Precinct 22",371,,,0,88,9,274
1257490000023,"Southfield, Precinct 23",358,,,4,117,32,205
1257490000024,"Southfield, Precinct 24",184,,,0,42,16,126
1257490000025,"Southfield, Precinct 25",326,,,0,80,34,212
1257490000026,"Southfield, Precinct 26",439,,,0,127,48,264
1257490000027,"Southfield, Precinct 27",280,,,0,79,27,174
1257490000028,"Southfield, Precinct 28",143,,,0,35,7,101
1257490000029,"Southfield, Precinct 29",391,,,1,102,32,256
1257490000030,"Southfield, Precinct 30",396,,,0,92,33,271
1257490000031,"Southfield, Precinct 31",298,,,1,75,24,198
1257490000032,"Southfield, Precinct 32",296,,,1,74,24,197
1257490000033,"Southfield, Precinct 33",273,,,0,68,23,182
1257490000034,"Southfield, Precinct 34",204,,,0,36,9,159
1257490000035,"Southfield, Precinct 35",151,,,0,36,2,113
1257490000036,"Southfield, Precinct 36",189,,,0,30,17,142
