id,name,total,over_votes,under_votes,Write-in,Heather Smiley
1255946000001,"Novi Township, Precinct 1",1,,,0,1
1255898000002,"Northville, Precinct 2",7,,,0,7
1255944000001,"Novi, Precinct 1",10,,,0,10
1255944000002,"Novi, Precinct 2",12,,,0,12
1255944000003,"Novi, Precinct 3",11,,,0,11
1255944000004,"Novi, Precinct 4",10,,,0,10
1255944000005,"Novi, Precinct 5",4,,,0,4
1255944000006,"Novi, Precinct 6",4,,,0,4
1255944000007,"Novi, Precinct 7",4,,,0,4
1255944000008,"Novi, Precinct 8",7,,,0,7
1255944000009,"Novi, Precinct 9",8,,,0,8
1255944000010,"Novi, Precinct 10",1,,,0,1
1255944000011,"Novi, Precinct 11",9,,,0,9
1255944000015,"Novi, Precinct 15",13,,,0,13
1255944000016,"Novi, Precinct 16",25,,,0,25
1255944000018,"Novi, Precinct 18",9,,,0,9
1255944000019,"Novi, Precinct 19",7,,,0,7
1255944000020,"Novi, Precinct 20",8,,,0,8
1255944000021,"Novi, Precinct 21",7,,,0,7
1255944000022,"Novi, Precinct 22",4,,,0,4
1255944000023,"Novi, Precinct 23",8,,,0,8
1255944000024,"Novi, Precinct 24",13,,,0,13
1255944000025,"Novi, Precinct 25",8,,,0,8
