id,name,total,over_votes,under_votes,Write-in,Lisa McClain
1250040000001,"Addison Township, Precinct 1",509,,,1,508
1250040000002,"Addison Township, Precinct 2",465,,,0,465
1250040000003,"Addison Township, Precinct 3",239,,,0,239
1251004000001,"Brandon Township, Precinct 1",392,,,0,392
1251004000002,"Brandon Township, Precinct 2",472,,,1,471
1251004000003,"Brandon Township, Precinct 3",538,,,1,537
1251004000004,"Brandon Township, Precinct 4",516,,,1,515
1251004000005,"Brandon Township, Precinct 5",96,,,1,95
1251004000006,"Brandon Township, Precinct 6",195,,,2,193
1253564000001,"Groveland Township, Precinct 1",249,,,3,246
1253564000002,"Groveland Township, Precinct 2",263,,,0,263
1253564000003,"Groveland Township, Precinct 3",392,,,0,392
1253808000001,"Highland Township, Precinct 1",639,,,6,633
1253808000002,"Highland Township, Precinct 2",701,,,1,700
1253808000003,"Highland Township, Precinct 3",687,,,2,685
1253808000004,"Highland Township, Precinct 4",572,,,1,571
1253808000005,"Highland Township, Precinct 5",382,,,4,378
1253872000001,"Holly Township, Precinct 1",233,,,2,231
1253872000002,"Holly Township, Precinct 2",233,,,0,233
1253872000003,"Holly Township, Precinct 3",340,,,0,340
1253872000004,"Holly Township, Precinct 4",407,,,1,406
1254040000001,"Independence Township, Precinct 1",486,,,1,485
1254040000002,"Independence Township, Precinct 2",651,,,3,648
1254040000003,"Independence Township, Precinct 3",803,,,2,801
1254040000004,"Independence Township, Precinct 4",753,,,1,752
1254040000005,"Independence Township, Precinct 5",612,,,2,610
1254040000006,"Independence Township, Precinct 6",543,,,3,540
1254040000007,"Independence Township, Precinct 7",592,,,0,592
1254040000008,"Independence Township, Precinct 8",452,,,2,450
1255398000001,"Milford Township, Precinct 1",487,,,1,486
1255398000005,"Milford Township, Precinct 5",344,,,2,342
1255398000007,"Milford Township, Precinct 7",202,,,0,202
1255982000001,"Oakland Township, Precinct 1",269,,,2,267
1255982000002,"Oakland Township, Precinct 2",565,,,2,563
1255982000003,"Oakland Township, Precinct 3",530,,,2,528
1255982000004,"Oakland Township, Precinct 4",285,,,0,285
1255982000005,"Oakland Township, Precinct 5",356,,,0,356
1255982000006,"Oakland Township, Precinct 6",513,,,2,511
1256110000001,"Orion Township, Precinct 1",569,,,6,563
1256110000002,"Orion Township, Precinct 2",450,,,1,449
1256110000003,"Orion Township, Precinct 3",431,,,3,428
1256110000004,"Orion Township, Precinct 4",481,,,3,478
1256110000005,"Orion Township, Precinct 5",399,,,2,397
1256110000006,"Orion Township, Precinct 6",372,,,3,369
1256110000007,"Orion Township, Precinct 7",552,,,4,548
1256110000008,"Orion Township, Precinct 8",542,,,2,540
1256110000009,"Orion Township, Precinct 9",329,,,2,327
1256110000010,"Orion Township, Precinct 10",326,,,1,325
1256110000011,"Orion Township, Precinct 11",419,,,4,415
1256204000001,"Oxford Township, Precinct 1",424,,,2,422
1256204000002,"Oxford Township, Precinct 2",741,,,1,740
1256204000003,"Oxford Township, Precinct 3",910,,,2,908
1256204000004,"Oxford Township, Precinct 4",586,,,1,585
1256204000005,"Oxford Township, Precinct 5",465,,,0,465
1256958000001,"Rose Township, Precinct 1",231,,,0,231
1256958000002,"Rose Township, Precinct 2",399,,,1,398
1256958000003,"Rose Township, Precinct 3",360,,,0,360
1257576000001,"Springfield Township, Precinct 1",539,,,1,538
1257576000002,"Springfield Township, Precinct 2",278,,,1,277
1257576000003,"Springfield Township, Precinct 3",465,,,2,463
1257576000004,"Springfield Township, Precinct 4",578,,,1,577
1257576000005,"Springfield Township, Precinct 5",319,,,0,319
1258686000001,"White Lake Township, Precinct 1",56,,,0,56
1258245000001,"Clarkston, Precinct 1",112,,,0,112
492776000002,"Fenton, Precinct 2",0,,,0,0
