id,name,total,over_votes,under_votes,Write-in,Debbie Dingell
1255946000001,"Novi Township, Precinct 1",0,,,0,0
1255898000002,"Northville, Precinct 2",396,,,1,395
1255944000001,"Novi, Precinct 1",288,,,1,287
1255944000002,"Novi, Precinct 2",331,,,2,329
1255944000003,"Novi, Precinct 3",231,,,0,231
1255944000004,"Novi, Precinct 4",281,,,1,280
1255944000005,"Novi, Precinct 5",142,,,4,138
1255944000006,"Novi, Precinct 6",327,,,2,325
1255944000007,"Novi, Precinct 7",225,,,1,224
1255944000008,"Novi, Precinct 8",262,,,2,260
1255944000009,"Novi, Precinct 9",346,,,3,343
1255944000010,"Novi, Precinct 10",379,,,0,379
1255944000011,"Novi, Precinct 11",134,,,0,134
1255944000015,"Novi, Precinct 15",211,,,0,211
1255944000016,"Novi, Precinct 16",458,,,1,457
1255944000018,"Novi, Precinct 18",232,,,0,232
1255944000019,"Novi, Precinct 19",254,,,1,253
1255944000020,"Novi, Precinct 20",149,,,1,148
1255944000021,"Novi, Precinct 21",221,,,3,218
1255944000022,"Novi, Precinct 22",110,,,0,110
1255944000023,"Novi, Precinct 23",188,,,0,188
1255944000024,"Novi, Precinct 24",201,,,1,200
1255944000025,"Novi, Precinct 25",94,,,0,94
