id,name,total,over_votes,under_votes,Write-in,James D. Hooper
1257492000001,"Southfield Township, Precinct 1",70,,,0,70
1257492000002,"Southfield Township, Precinct 2",106,,,0,106
1257492000003,"Southfield Township, Precinct 3",56,,,0,56
1257492000004,"Southfield Township, Precinct 4",86,,,0,86
1257492000005,"Southfield Township, Precinct 5",115,,,0,115
1257492000006,"Southfield Township, Precinct 6",61,,,0,61
1257492000007,"Southfield Township, Precinct 7",105,,,0,105
1254632000001,"Lathrup Village, Precinct 1",45,,,1,44
1257490000001,"Southfield, Precinct 1",18,,,0,18
1257490000002,"Southfield, Precinct 2",32,,,0,32
1257490000003,"Southfield, Precinct 3",28,,,0,28
1257490000004,"Southfield, Precinct 4",21,,,0,21
1257490000005,"Southfield, Precinct 5",27,,,1,26
1257490000006,"Southfield, Precinct 6",18,,,0,18
1257490000007,"Southfield, Precinct 7",16,,,0,16
1257490000008,"Southfield, Precinct 8",15,,,0,15
1257490000009,"Southfield, Precinct 9",23,,,0,23
1257490000010,"Southfield, Precinct 10",19,,,0,19
1257490000011,"Southfield, Precinct 11",18,,,0,18
1257490000012,"Southfield, Precinct 12",10,,,0,10
1257490000013,"Southfield, Precinct 13",20,,,0,20
1257490000014,"Southfield, Precinct 14",15,,,0,15
1257490000015,"Southfield, Precinct 15",19,,,1,18
1257490000016,"Southfield, Precinct 16",7,,,0,7
1257490000017,"Southfield, Precinct 17",13,,,0,13
1257490000018,"Southfield, Precinct 18",6,,,0,6
1257490000019,"Southfield, Precinct 19",10,,,0,10
1257490000020,"Southfield, Precinct 20",11,,,0,11
1257490000021,"Southfield, Precinct 21",10,,,0,10
1257490000022,"Southfield, Precinct 22",11,,,0,11
1257490000023,"Southfield, Precinct 23",19,,,0,19
1257490000024,"Southfield, Precinct 24",5,,,0,5
1257490000025,"Southfield, Precinct 25",6,,,0,6
1257490000026,"Southfield, Precinct 26",10,,,0,10
1257490000027,"Southfield, Precinct 27",8,,,0,8
1257490000028,"Southfield, Precinct 28",9,,,0,9
1257490000029,"Southfield, Precinct 29",30,,,0,30
1257490000030,"Southfield, Precinct 30",25,,,0,25
1257490000031,"Southfield, Precinct 31",10,,,0,10
1257490000032,"Southfield, Precinct 32",19,,,0,19
1257490000033,"Southfield, Precinct 33",4,,,0,4
1257490000034,"Southfield, Precinct 34",30,,,0,30
1257490000035,"Southfield, Precinct 35",6,,,0,6
1257490000036,"Southfield, Precinct 36",17,,,0,17
