id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Steffan Demetropoulos,Justin Kirk,Robert Lulgjuraj
1256902000001,"Rochester, Precinct 1",48,,,0,42,1,4,1
1256902000002,"Rochester, Precinct 2",58,,,0,49,0,3,6
1256902000003,"Rochester, Precinct 3",46,,,0,45,0,0,1
1256903501001,"Rochester Hills, Precinct 1",26,,,0,23,0,2,1
1256903501002,"Rochester Hills, Precinct 2",19,,,0,16,1,1,1
1256903501003,"Rochester Hills, Precinct 3",13,,,0,11,0,0,2
1256903501004,"Rochester Hills, Precinct 4",42,,,0,40,1,1,0
1256903501005,"Rochester Hills, Precinct 5",36,,,0,34,0,2,0
1256903501006,"Rochester Hills, Precinct 6",24,,,0,21,0,3,0
1256903502007,"Rochester Hills, Precinct 7",43,,,0,37,2,2,2
1256903502008,"Rochester Hills, Precinct 8",37,,,0,32,1,2,2
1256903502009,"Rochester Hills, Precinct 9",54,,,0,46,1,4,3
1256903502010,"Rochester Hills, Precinct 10",12,,,1,9,0,1,1
1256903502011,"Rochester Hills, Precinct 11",10,,,0,7,2,1,0
1256903503012,"Rochester Hills, Precinct 12",58,,,0,54,2,1,1
1256903503013,"Rochester Hills, Precinct 13",21,,,0,19,0,1,1
1256903503014,"Rochester Hills, Precinct 14",15,,,0,11,0,3,1
1256903503015,"Rochester Hills, Precinct 15",19,,,0,18,0,1,0
1256903503016,"Rochester Hills, Precinct 16",9,,,0,7,1,1,0
1256903504017,"Rochester Hills, Precinct 17",39,,,0,33,2,2,2
1256903504018,"Rochester Hills, Precinct 18",18,,,0,14,1,3,0
1256903504019,"Rochester Hills, Precinct 19",17,,,0,15,1,1,0
1256903504020,"Rochester Hills, Precinct 20",12,,,0,11,0,1,0
1256903504021,"Rochester Hills, Precinct 21",13,,,0,10,2,1,0
