id,name,total,over_votes,under_votes,Write-in,Eric Chung,Tim Greimel,Christina Bertrand Hines
1256902000001,"Rochester, Precinct 1",90,,,0,17,33,40
1256902000002,"Rochester, Precinct 2",81,,,0,19,29,33
1256902000003,"Rochester, Precinct 3",47,,,0,18,14,15
1256903501001,"Rochester Hills, Precinct 1",35,,,0,9,19,7
1256903501002,"Rochester Hills, Precinct 2",38,,,0,13,11,14
1256903501003,"Rochester Hills, Precinct 3",43,,,0,17,10,16
1256903501004,"Rochester Hills, Precinct 4",78,,,0,20,44,14
1256903501005,"Rochester Hills, Precinct 5",50,,,0,9,16,25
1256903501006,"Rochester Hills, Precinct 6",54,,,0,17,8,29
1256903502007,"Rochester Hills, Precinct 7",75,,,0,23,33,19
1256903502008,"Rochester Hills, Precinct 8",88,,,0,21,30,37
1256903502009,"Rochester Hills, Precinct 9",92,,,0,39,17,36
1256903502010,"Rochester Hills, Precinct 10",20,,,0,9,4,7
1256903502011,"Rochester Hills, Precinct 11",46,,,0,19,5,22
1256903503012,"Rochester Hills, Precinct 12",71,,,0,28,12,31
1256903503013,"Rochester Hills, Precinct 13",37,,,0,8,18,11
1256903503014,"Rochester Hills, Precinct 14",29,,,0,9,10,10
1256903503015,"Rochester Hills, Precinct 15",42,,,0,24,7,11
1256903503016,"Rochester Hills, Precinct 16",56,,,0,27,8,21
1256903504017,"Rochester Hills, Precinct 17",85,,,0,36,22,27
1256903504018,"Rochester Hills, Precinct 18",33,,,1,10,8,14
1256903504019,"Rochester Hills, Precinct 19",37,,,0,17,11,9
1256903504020,"Rochester Hills, Precinct 20",66,,,0,21,17,28
1256903504021,"Rochester Hills, Precinct 21",19,,,0,7,2,10
