id,name,total,over_votes,under_votes,Write-in,Lisa McClain
1250040000001,"Addison Township, Precinct 1",240,,,1,239
1250040000002,"Addison Township, Precinct 2",241,,,0,241
1250040000003,"Addison Township, Precinct 3",115,,,0,115
1251004000001,"Brandon Township, Precinct 1",125,,,0,125
1251004000002,"Brandon Township, Precinct 2",189,,,1,188
1251004000003,"Brandon Township, Precinct 3",156,,,0,156
1251004000004,"Brandon Township, Precinct 4",184,,,0,184
1251004000005,"Brandon Township, Precinct 5",20,,,0,20
1251004000006,"Brandon Township, Precinct 6",42,,,0,42
1253564000001,"Groveland Township, Precinct 1",85,,,2,83
1253564000002,"Groveland Township, Precinct 2",75,,,0,75
1253564000003,"Groveland Township, Precinct 3",152,,,0,152
1253808000001,"Highland Township, Precinct 1",313,,,0,313
1253808000002,"Highland Township, Precinct 2",342,,,0,342
1253808000003,"Highland Township, Precinct 3",335,,,1,334
1253808000004,"Highland Township, Precinct 4",256,,,0,256
1253808000005,"Highland Township, Precinct 5",137,,,2,135
1253872000001,"Holly Township, Precinct 1",83,,,1,82
1253872000002,"Holly Township, Precinct 2",72,,,0,72
1253872000003,"Holly Township, Precinct 3",110,,,0,110
1253872000004,"Holly Township, Precinct 4",173,,,0,173
1254040000001,"Independence Township, Precinct 1",227,,,1,226
1254040000002,"Independence Township, Precinct 2",329,,,2,327
1254040000003,"Independence Township, Precinct 3",454,,,1,453
1254040000004,"Independence Township, Precinct 4",376,,,0,376
1254040000005,"Independence Township, Precinct 5",274,,,2,272
1254040000006,"Independence Township, Precinct 6",296,,,2,294
1254040000007,"Independence Township, Precinct 7",294,,,0,294
1254040000008,"Independence Township, Precinct 8",185,,,0,185
1255398000001,"Milford Township, Precinct 1",243,,,0,243
1255398000005,"Milford Township, Precinct 5",178,,,1,177
1255398000007,"Milford Township, Precinct 7",107,,,0,107
1255982000001,"Oakland Township, Precinct 1",128,,,0,128
1255982000002,"Oakland Township, Precinct 2",255,,,0,255
1255982000003,"Oakland Township, Precinct 3",283,,,0,283
1255982000004,"Oakland Township, Precinct 4",140,,,0,140
1255982000005,"Oakland Township, Precinct 5",163,,,0,163
1255982000006,"Oakland Township, Precinct 6",311,,,1,310
1256110000001,"Orion Township, Precinct 1",208,,,0,208
1256110000002,"Orion Township, Precinct 2",195,,,1,194
1256110000003,"Orion Township, Precinct 3",191,,,1,190
1256110000004,"Orion Township, Precinct 4",187,,,1,186
1256110000005,"Orion Township, Precinct 5",150,,,2,148
1256110000006,"Orion Township, Precinct 6",179,,,2,177
1256110000007,"Orion Township, Precinct 7",246,,,3,243
1256110000008,"Orion Township, Precinct 8",227,,,0,227
1256110000009,"Orion Township, Precinct 9",165,,,2,163
1256110000010,"Orion Township, Precinct 10",137,,,0,137
1256110000011,"Orion Township, Precinct 11",180,,,0,180
1256204000001,"Oxford Township, Precinct 1",197,,,0,197
1256204000002,"Oxford Township, Precinct 2",329,,,1,328
1256204000003,"Oxford Township, Precinct 3",380,,,1,379
1256204000004,"Oxford Township, Precinct 4",273,,,0,273
1256204000005,"Oxford Township, Precinct 5",236,,,0,236
1256958000001,"Rose Township, Precinct 1",100,,,0,100
1256958000002,"Rose Township, Precinct 2",173,,,0,173
1256958000003,"Rose Township, Precinct 3",164,,,0,164
1257576000001,"Springfield Township, Precinct 1",162,,,1,161
1257576000002,"Springfield Township, Precinct 2",86,,,1,85
1257576000003,"Springfield Township, Precinct 3",173,,,0,173
1257576000004,"Springfield Township, Precinct 4",198,,,1,197
1257576000005,"Springfield Township, Precinct 5",123,,,0,123
1258686000001,"White Lake Township, Precinct 1",24,,,0,24
1258245000001,"Clarkston, Precinct 1",0,,,0,0
492776000002,"Fenton, Precinct 2",0,,,0,0
