id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Steffan Demetropoulos,Justin Kirk,Robert Lulgjuraj
1256902000001,"Rochester, Precinct 1",209,,,0,184,4,10,11
1256902000002,"Rochester, Precinct 2",315,,,0,269,5,23,18
1256902000003,"Rochester, Precinct 3",310,,,0,279,7,13,11
1256903501001,"Rochester Hills, Precinct 1",306,,,0,285,1,5,15
1256903501002,"Rochester Hills, Precinct 2",248,,,0,226,5,12,5
1256903501003,"Rochester Hills, Precinct 3",215,,,0,195,3,8,9
1256903501004,"Rochester Hills, Precinct 4",276,,,0,246,12,10,8
1256903501005,"Rochester Hills, Precinct 5",237,,,0,215,6,13,3
1256903501006,"Rochester Hills, Precinct 6",298,,,0,269,4,17,8
1256903502007,"Rochester Hills, Precinct 7",483,,,0,425,18,16,24
1256903502008,"Rochester Hills, Precinct 8",379,,,0,330,8,19,22
1256903502009,"Rochester Hills, Precinct 9",351,,,0,308,13,13,17
1256903502010,"Rochester Hills, Precinct 10",113,,,2,101,1,5,4
1256903502011,"Rochester Hills, Precinct 11",129,,,0,114,5,6,4
1256903503012,"Rochester Hills, Precinct 12",469,,,0,422,13,17,17
1256903503013,"Rochester Hills, Precinct 13",275,,,0,256,7,6,6
1256903503014,"Rochester Hills, Precinct 14",292,,,1,262,8,13,8
1256903503015,"Rochester Hills, Precinct 15",177,,,0,160,5,9,3
1256903503016,"Rochester Hills, Precinct 16",95,,,0,81,5,5,4
1256903504017,"Rochester Hills, Precinct 17",249,,,0,220,11,9,9
1256903504018,"Rochester Hills, Precinct 18",147,,,0,127,8,7,5
1256903504019,"Rochester Hills, Precinct 19",186,,,0,161,7,12,6
1256903504020,"Rochester Hills, Precinct 20",190,,,0,171,6,5,8
1256903504021,"Rochester Hills, Precinct 21",79,,,0,67,4,5,3
