id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Steffan Demetropoulos,Justin Kirk,Robert Lulgjuraj
1256902000001,"Rochester, Precinct 1",169,,,0,149,7,9,4
1256902000002,"Rochester, Precinct 2",222,,,0,181,10,22,9
1256902000003,"Rochester, Precinct 3",186,,,0,160,4,16,6
1256903501001,"Rochester Hills, Precinct 1",168,,,0,149,5,10,4
1256903501002,"Rochester Hills, Precinct 2",127,,,0,113,4,5,5
1256903501003,"Rochester Hills, Precinct 3",84,,,0,73,5,3,3
1256903501004,"Rochester Hills, Precinct 4",152,,,0,135,6,10,1
1256903501005,"Rochester Hills, Precinct 5",152,,,0,125,6,14,7
1256903501006,"Rochester Hills, Precinct 6",139,,,0,113,6,10,10
1256903502007,"Rochester Hills, Precinct 7",284,,,0,241,14,17,12
1256903502008,"Rochester Hills, Precinct 8",233,,,0,204,5,15,9
1256903502009,"Rochester Hills, Precinct 9",195,,,0,173,2,13,7
1256903502010,"Rochester Hills, Precinct 10",89,,,0,75,1,11,2
1256903502011,"Rochester Hills, Precinct 11",72,,,0,56,7,5,4
1256903503012,"Rochester Hills, Precinct 12",275,,,0,243,4,19,9
1256903503013,"Rochester Hills, Precinct 13",178,,,0,147,9,13,9
1256903503014,"Rochester Hills, Precinct 14",163,,,2,139,4,12,6
1256903503015,"Rochester Hills, Precinct 15",207,,,0,163,6,28,10
1256903503016,"Rochester Hills, Precinct 16",117,,,0,101,1,7,8
1256903504017,"Rochester Hills, Precinct 17",160,,,0,148,3,5,4
1256903504018,"Rochester Hills, Precinct 18",71,,,0,61,1,5,4
1256903504019,"Rochester Hills, Precinct 19",140,,,0,118,8,10,4
1256903504020,"Rochester Hills, Precinct 20",138,,,1,109,4,19,5
1256903504021,"Rochester Hills, Precinct 21",97,,,1,83,4,5,4
