id,name,total,over_votes,under_votes,Write-in,Debbie Dingell
1255946000001,"Novi Township, Precinct 1",0,,,0,0
1255898000002,"Northville, Precinct 2",423,,,1,422
1255944000001,"Novi, Precinct 1",309,,,1,308
1255944000002,"Novi, Precinct 2",361,,,3,358
1255944000003,"Novi, Precinct 3",249,,,1,248
1255944000004,"Novi, Precinct 4",320,,,1,319
1255944000005,"Novi, Precinct 5",172,,,4,168
1255944000006,"Novi, Precinct 6",351,,,2,349
1255944000007,"Novi, Precinct 7",258,,,1,257
1255944000008,"Novi, Precinct 8",297,,,2,295
1255944000009,"Novi, Precinct 9",367,,,3,364
1255944000010,"Novi, Precinct 10",379,,,0,379
1255944000011,"Novi, Precinct 11",150,,,0,150
1255944000015,"Novi, Precinct 15",247,,,0,247
1255944000016,"Novi, Precinct 16",535,,,2,533
1255944000018,"Novi, Precinct 18",264,,,0,264
1255944000019,"Novi, Precinct 19",287,,,1,286
1255944000020,"Novi, Precinct 20",165,,,1,164
1255944000021,"Novi, Precinct 21",243,,,3,240
1255944000022,"Novi, Precinct 22",129,,,0,129
1255944000023,"Novi, Precinct 23",218,,,0,218
1255944000024,"Novi, Precinct 24",228,,,1,227
1255944000025,"Novi, Precinct 25",112,,,1,111
