id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
1250040000001,"Addison Township, Precinct 1",91,,,1,55,7,28
1250040000002,"Addison Township, Precinct 2",102,,,0,58,0,44
1250040000003,"Addison Township, Precinct 3",51,,,0,33,3,15
1250911000001,"Bloomfield Township, Precinct 1",127,,,0,89,2,36
1250911000002,"Bloomfield Township, Precinct 2",232,,,1,136,3,92
1250911000003,"Bloomfield Township, Precinct 3",386,,,0,252,2,132
1250911000004,"Bloomfield Township, Precinct 4",127,,,0,64,1,62
1250911000005,"Bloomfield Township, Precinct 5",396,,,0,224,5,167
1250911000006,"Bloomfield Township, Precinct 6",200,,,0,115,2,83
1250911000007,"Bloomfield Township, Precinct 7",365,,,0,192,2,171
1250911000008,"Bloomfield Township, Precinct 8",328,,,0,129,9,190
1250911000009,"Bloomfield Township, Precinct 9",430,,,0,215,4,211
1250911000010,"Bloomfield Township, Precinct 10",178,,,0,78,3,97
1250911000011,"Bloomfield Township, Precinct 11",406,,,0,146,5,255
1250911000012,"Bloomfield Township, Precinct 12",168,,,0,88,2,78
1251004000001,"Brandon Township, Precinct 1",135,,,0,71,4,60
1251004000002,"Brandon Township, Precinct 2",141,,,0,74,2,65
1251004000003,"Brandon Township, Precinct 3",146,,,1,89,4,52
1251004000004,"Brandon Township, Precinct 4",141,,,0,80,2,59
1251004000005,"Brandon Township, Precinct 5",81,,,0,45,1,35
1251004000006,"Brandon Township, Precinct 6",113,,,0,66,3,44
1251764000001,"Commerce Township, Precinct 1",168,,,0,93,3,72
1251764000002,"Commerce Township, Precinct 2",148,,,0,82,6,60
1251764000003,"Commerce Township, Precinct 3",194,,,0,88,2,104
1251764000004,"Commerce Township, Precinct 4",169,,,0,100,4,65
1251764000005,"Commerce Township, Precinct 5",142,,,0,75,3,64
1251764000006,"Commerce Township, Precinct 6",161,,,0,99,2,60
1251764000007,"Commerce Township, Precinct 7",141,,,0,65,2,74
1251764000008,"Commerce Township, Precinct 8",161,,,0,64,3,94
1251764000009,"Commerce Township, Precinct 9",257,,,0,133,4,120
1251764000010,"Commerce Township, Precinct 10",184,,,0,111,4,69
1251764000011,"Commerce Township, Precinct 11",183,,,0,110,4,69
1251764000012,"Commerce Township, Precinct 12",111,,,0,53,4,54
1251764000013,"Commerce Township, Precinct 13",224,,,0,115,4,105
1251764000014,"Commerce Township, Precinct 14",134,,,0,100,2,32
1251764000015,"Commerce Township, Precinct 15",151,,,0,84,5,62
1253564000001,"Groveland Township, Precinct 1",67,,,0,32,0,35
1253564000002,"Groveland Township, Precinct 2",114,,,0,67,5,42
1253564000003,"Groveland Township, Precinct 3",133,,,0,76,5,52
1253808000001,"Highland Township, Precinct 1",207,,,0,129,1,77
1253808000002,"Highland Township, Precinct 2",189,,,0,116,6,67
1253808000003,"Highland Township, Precinct 3",185,,,0,96,4,85
1253808000004,"Highland Township, Precinct 4",170,,,0,95,2,73
1253808000005,"Highland Township, Precinct 5",109,,,0,65,1,43
1253872000001,"Holly Township, Precinct 1",233,,,0,162,5,66
1253872000002,"Holly Township, Precinct 2",186,,,0,132,4,50
1253872000003,"Holly Township, Precinct 3",219,,,0,141,9,69
1253872000004,"Holly Township, Precinct 4",186,,,0,125,5,56
1254040000001,"Independence Township, Precinct 1",174,,,0,112,3,59
1254040000002,"Independence Township, Precinct 2",272,,,0,150,9,113
1254040000003,"Independence Township, Precinct 3",269,,,0,154,6,109
1254040000004,"Independence Township, Precinct 4",300,,,0,144,9,147
1254040000005,"Independence Township, Precinct 5",300,,,1,183,8,108
1254040000006,"Independence Township, Precinct 6",325,,,0,205,3,117
1254040000007,"Independence Township, Precinct 7",232,,,0,152,6,74
1254040000008,"Independence Township, Precinct 8",254,,,1,172,5,76
1254982000001,"Lyon Township, Precinct 1",59,,,0,31,0,28
1254982000002,"Lyon Township, Precinct 2",33,,,0,20,2,11
1254982000003,"Lyon Township, Precinct 3",106,,,0,72,0,34
1254982000004,"Lyon Township, Precinct 4",149,,,0,89,1,59
1254982000005,"Lyon Township, Precinct 5",83,,,0,54,3,26
1254982000006,"Lyon Township, Precinct 6",202,,,0,112,7,83
1254982000007,"Lyon Township, Precinct 7",58,,,0,35,0,23
1254982000008,"Lyon Township, Precinct 8",151,,,1,77,4,69
1254982000009,"Lyon Township, Precinct 9",274,,,0,152,6,116
1254982000010,"Lyon Township, Precinct 10",93,,,0,60,1,32
1254982000011,"Lyon Township, Precinct 11",122,,,0,69,3,50
1255398000001,"Milford Township, Precinct 1",202,,,0,101,7,94
1255398000002,"Milford Township, Precinct 2",111,,,0,64,1,46
1255398000003,"Milford Township, Precinct 3",97,,,0,47,3,47
1255398000004,"Milford Township, Precinct 4",234,,,0,149,3,82
1255398000005,"Milford Township, Precinct 5",266,,,0,140,2,124
1255398000006,"Milford Township, Precinct 6",119,,,0,59,7,53
1255398000007,"Milford Township, Precinct 7",141,,,0,86,1,54
1255946000001,"Novi Township, Precinct 1",43,,,0,27,0,16
1255982000001,"Oakland Township, Precinct 1",148,,,0,92,2,54
1255982000002,"Oakland Township, Precinct 2",207,,,0,130,0,77
1255982000003,"Oakland Township, Precinct 3",193,,,0,131,2,60
1255982000004,"Oakland Township, Precinct 4",97,,,0,61,1,35
1255982000005,"Oakland Township, Precinct 5",227,,,0,133,7,87
1255982000006,"Oakland Township, Precinct 6",160,,,0,99,4,57
1256110000001,"Orion Township, Precinct 1",349,,,0,199,14,136
1256110000002,"Orion Township, Precinct 2",158,,,0,101,8,49
1256110000003,"Orion Township, Precinct 3",150,,,0,96,8,46
1256110000004,"Orion Township, Precinct 4",145,,,0,80,4,61
1256110000005,"Orion Township, Precinct 5",174,,,0,102,4,68
1256110000006,"Orion Township, Precinct 6",165,,,0,99,4,62
1256110000007,"Orion Township, Precinct 7",298,,,0,189,8,101
1256110000008,"Orion Township, Precinct 8",255,,,0,161,5,89
1256110000009,"Orion Township, Precinct 9",196,,,0,118,2,76
1256110000010,"Orion Township, Precinct 10",184,,,0,119,7,58
1256110000011,"Orion Township, Precinct 11",275,,,0,188,12,75
1256204000001,"Oxford Township, Precinct 1",227,,,0,159,9,59
1256204000002,"Oxford Township, Precinct 2",322,,,0,193,17,112
1256204000003,"Oxford Township, Precinct 3",394,,,0,237,11,146
1256204000004,"Oxford Township, Precinct 4",255,,,0,156,11,88
