id,name,total,over_votes,under_votes,Write-in,Tom Barrett
1254982000001,"Lyon Township, Precinct 1",10,,,0,10
1254982000002,"Lyon Township, Precinct 2",5,,,0,5
1254982000003,"Lyon Township, Precinct 3",11,,,0,11
1254982000004,"Lyon Township, Precinct 4",7,,,0,7
1254982000005,"Lyon Township, Precinct 5",18,,,0,18
1254982000006,"Lyon Township, Precinct 6",24,,,0,24
1254982000007,"Lyon Township, Precinct 7",3,,,0,3
1254982000008,"Lyon Township, Precinct 8",12,,,0,12
1254982000009,"Lyon Township, Precinct 9",9,,,0,9
1254982000010,"Lyon Township, Precinct 10",17,,,0,17
1254982000011,"Lyon Township, Precinct 11",27,,,0,27
1255398000002,"Milford Township, Precinct 2",4,,,0,4
1255398000003,"Milford Township, Precinct 3",18,,,0,18
1255398000004,"Milford Township, Precinct 4",21,,,0,21
1255398000006,"Milford Township, Precinct 6",7,,,0,7
1257510000001,"South Lyon, Precinct 1",21,,,0,21
1257510000002,"South Lyon, Precinct 2",11,,,0,11
1257510000003,"South Lyon, Precinct 3",23,,,0,23
1257510000004,"South Lyon, Precinct 4",17,,,0,17
1257510000005,"South Lyon, Precinct 5",9,,,0,9
