id,name,total,over_votes,under_votes,Write-in,Eric Chung,Tim Greimel,Christina Bertrand Hines
1256902000001,"Rochester, Precinct 1",470,,,0,106,197,167
1256902000002,"Rochester, Precinct 2",551,,,0,126,221,204
1256902000003,"Rochester, Precinct 3",381,,,0,103,142,136
1256903501001,"Rochester Hills, Precinct 1",405,,,1,87,218,99
1256903501002,"Rochester Hills, Precinct 2",373,,,1,76,187,109
1256903501003,"Rochester Hills, Precinct 3",398,,,0,96,154,148
1256903501004,"Rochester Hills, Precinct 4",477,,,0,93,253,131
1256903501005,"Rochester Hills, Precinct 5",454,,,0,88,200,166
1256903501006,"Rochester Hills, Precinct 6",502,,,1,137,179,185
1256903502007,"Rochester Hills, Precinct 7",714,,,0,147,388,179
1256903502008,"Rochester Hills, Precinct 8",643,,,0,130,290,223
1256903502009,"Rochester Hills, Precinct 9",535,,,0,131,210,194
1256903502010,"Rochester Hills, Precinct 10",201,,,0,59,88,54
1256903502011,"Rochester Hills, Precinct 11",329,,,0,83,124,122
1256903503012,"Rochester Hills, Precinct 12",650,,,0,162,247,241
1256903503013,"Rochester Hills, Precinct 13",438,,,0,105,172,161
1256903503014,"Rochester Hills, Precinct 14",409,,,2,99,169,139
1256903503015,"Rochester Hills, Precinct 15",472,,,0,156,137,179
1256903503016,"Rochester Hills, Precinct 16",247,,,2,80,71,94
1256903504017,"Rochester Hills, Precinct 17",558,,,0,154,212,192
1256903504018,"Rochester Hills, Precinct 18",228,,,1,46,66,115
1256903504019,"Rochester Hills, Precinct 19",260,,,0,87,85,88
1256903504020,"Rochester Hills, Precinct 20",453,,,1,120,150,182
1256903504021,"Rochester Hills, Precinct 21",207,,,1,67,50,89
