id,name,total,over_votes,under_votes,Write-in,Bridget Brink,William Lawrence,Matt Maasdam
1254982000001,"Lyon Township, Precinct 1",185,,,0,71,78,36
1254982000002,"Lyon Township, Precinct 2",126,,,0,38,46,42
1254982000003,"Lyon Township, Precinct 3",299,,,0,98,138,63
1254982000004,"Lyon Township, Precinct 4",321,,,0,138,100,83
1254982000005,"Lyon Township, Precinct 5",282,,,0,103,93,86
1254982000006,"Lyon Township, Precinct 6",432,,,1,163,136,132
1254982000007,"Lyon Township, Precinct 7",115,,,0,39,37,39
1254982000008,"Lyon Township, Precinct 8",334,,,4,127,104,99
1254982000009,"Lyon Township, Precinct 9",554,,,0,179,191,184
1254982000010,"Lyon Township, Precinct 10",239,,,1,91,74,73
1254982000011,"Lyon Township, Precinct 11",385,,,0,141,117,127
1255398000002,"Milford Township, Precinct 2",306,,,1,129,84,92
1255398000003,"Milford Township, Precinct 3",321,,,0,147,67,107
1255398000004,"Milford Township, Precinct 4",623,,,0,243,191,189
1255398000006,"Milford Township, Precinct 6",363,,,1,153,98,111
1257510000001,"South Lyon, Precinct 1",522,,,0,209,158,155
1257510000002,"South Lyon, Precinct 2",403,,,0,138,157,108
1257510000003,"South Lyon, Precinct 3",506,,,1,178,164,163
1257510000004,"South Lyon, Precinct 4",264,,,1,99,116,48
1257510000005,"South Lyon, Precinct 5",173,,,1,68,63,41
