id,name,total,over_votes,under_votes,Write-in,Aisha Farooqi,Jeremy Moss,John Paul Torres,Don Ufford
1250911000001,"Bloomfield Township, Precinct 1",217,,,0,68,112,24,13
1250911000002,"Bloomfield Township, Precinct 2",382,,,0,113,215,20,34
1250911000003,"Bloomfield Township, Precinct 3",663,,,4,155,363,76,65
1250911000004,"Bloomfield Township, Precinct 4",262,,,0,60,167,18,17
1250911000005,"Bloomfield Township, Precinct 5",763,,,0,179,463,53,68
1250911000006,"Bloomfield Township, Precinct 6",334,,,1,84,197,17,35
1250911000007,"Bloomfield Township, Precinct 7",820,,,0,126,587,38,69
1250911000008,"Bloomfield Township, Precinct 8",663,,,0,120,479,23,41
1250911000009,"Bloomfield Township, Precinct 9",895,,,0,157,629,34,75
1250911000010,"Bloomfield Township, Precinct 10",431,,,0,43,338,20,30
1250911000011,"Bloomfield Township, Precinct 11",767,,,0,89,506,33,139
1250911000012,"Bloomfield Township, Precinct 12",272,,,0,56,164,17,35
1251764000001,"Commerce Township, Precinct 1",206,,,0,64,112,15,15
1251764000002,"Commerce Township, Precinct 2",249,,,0,64,150,12,23
1251764000003,"Commerce Township, Precinct 3",495,,,0,63,338,54,40
1251764000004,"Commerce Township, Precinct 4",266,,,0,77,119,34,36
1251764000005,"Commerce Township, Precinct 5",295,,,1,57,175,33,29
1251764000006,"Commerce Township, Precinct 6",192,,,1,39,117,22,13
1251764000007,"Commerce Township, Precinct 7",292,,,0,45,174,34,39
1251764000008,"Commerce Township, Precinct 8",285,,,1,59,153,32,40
1251764000009,"Commerce Township, Precinct 9",269,,,0,72,151,18,28
1251764000010,"Commerce Township, Precinct 10",258,,,0,61,140,27,30
1251764000011,"Commerce Township, Precinct 11",286,,,0,64,140,42,40
1251764000012,"Commerce Township, Precinct 12",139,,,0,42,59,18,20
1251764000013,"Commerce Township, Precinct 13",314,,,0,82,174,33,25
1251764000014,"Commerce Township, Precinct 14",102,,,0,33,49,16,4
1251764000015,"Commerce Township, Precinct 15",221,,,1,49,117,23,31
1254040000007,"Independence Township, Precinct 7",0,,,0,0,0,0,0
1257006000001,"Royal Oak Township, Precinct 1",126,,,0,46,67,11,2
1257006000002,"Royal Oak Township, Precinct 2",221,,,0,56,129,29,7
1258424000001,"Waterford Township, Precinct 1",97,,,0,16,39,35,7
1258424000002,"Waterford Township, Precinct 2",359,,,1,66,146,115,31
1258424000003,"Waterford Township, Precinct 3",320,,,0,78,113,107,22
1258424000004,"Waterford Township, Precinct 4",279,,,0,46,122,84,27
1258424000005,"Waterford Township, Precinct 5",367,,,0,69,156,113,29
1258424000006,"Waterford Township, Precinct 6",314,,,0,62,115,108,29
1258424000007,"Waterford Township, Precinct 7",307,,,1,62,108,113,23
1258424000008,"Waterford Township, Precinct 8",302,,,1,38,110,132,21
1258424000009,"Waterford Township, Precinct 9",373,,,0,55,115,171,32
1258424000010,"Waterford Township, Precinct 10",228,,,0,48,115,51,14
1258424000011,"Waterford Township, Precinct 11",249,,,0,56,103,76,14
1258424000012,"Waterford Township, Precinct 12",326,,,0,57,144,93,32
1258424000013,"Waterford Township, Precinct 13",348,,,1,59,103,162,23
1258424000014,"Waterford Township, Precinct 14",253,,,0,57,90,88,18
1258424000015,"Waterford Township, Precinct 15",289,,,0,81,102,82,24
1258424000016,"Waterford Township, Precinct 16",294,,,0,51,128,98,17
1258424000017,"Waterford Township, Precinct 17",342,,,1,74,121,124,22
1258424000018,"Waterford Township, Precinct 18",328,,,1,63,157,75,32
1258424000019,"Waterford Township, Precinct 19",326,,,1,81,141,80,23
1258424000020,"Waterford Township, Precinct 20",287,,,0,61,124,83,19
1258424000021,"Waterford Township, Precinct 21",304,,,0,67,126,95,16
1258548000001,"West Bloomfield Township, Precinct 1",573,,,0,80,427,26,40
1258548000002,"West Bloomfield Township, Precinct 2",521,,,0,85,389,23,24
1258548000003,"West Bloomfield Township, Precinct 3",783,,,0,85,640,27,31
1258548000004,"West Bloomfield Township, Precinct 4",367,,,1,76,233,28,29
1258548000005,"West Bloomfield Township, Precinct 5",138,,,1,32,78,11,16
1258548000006,"West Bloomfield Township, Precinct 6",502,,,2,119,307,45,29
1258548000007,"West Bloomfield Township, Precinct 7",478,,,3,84,306,45,40
1258548000008,"West Bloomfield Township, Precinct 8",612,,,0,106,429,52,25
1258548000009,"West Bloomfield Township, Precinct 9",639,,,0,76,510,28,25
1258548000010,"West Bloomfield Township, Precinct 10",507,,,0,123,339,23,22
1258548000011,"West Bloomfield Township, Precinct 11",330,,,0,74,209,29,18
1258548000012,"West Bloomfield Township, Precinct 12",205,,,0,45,111,34,15
1258548000013,"West Bloomfield Township, Precinct 13",73,,,0,8,50,2,13
1258548000014,"West Bloomfield Township, Precinct 14",496,,,0,106,311,40,39
1258548000015,"West Bloomfield Township, Precinct 15",402,,,0,86,247,34,35
1258548000016,"West Bloomfield Township, Precinct 16",712,,,0,135,476,62,39
1258548000017,"West Bloomfield Township, Precinct 17",481,,,0,81,337,29,34
1258548000018,"West Bloomfield Township, Precinct 18",505,,,0,97,345,32,31
1258548000019,"West Bloomfield Township, Precinct 19",563,,,0,104,383,48,28
1258548000020,"West Bloomfield Township, Precinct 20",923,,,0,175,650,59,39
1258686000002,"White Lake Township, Precinct 2",245,,,0,72,91,36,46
1258686000003,"White Lake Township, Precinct 3",239,,,0,49,131,25,34
1258686000004,"White Lake Township, Precinct 4",179,,,0,40,95,18,26
1258686000005,"White Lake Township, Precinct 5",340,,,0,84,157,52,47
1258686000006,"White Lake Township, Precinct 6",383,,,2,87,185,59,50
1258686000007,"White Lake Township, Precinct 7",375,,,0,88,181,72,34
1258686000008,"White Lake Township, Precinct 8",288,,,0,84,148,29,27
1258686000009,"White Lake Township, Precinct 9",342,,,0,84,176,62,20
1250410500001,"Auburn Hills, Precinct 1",152,,,0,55,69,18,10
1250410500002,"Auburn Hills, Precinct 2",472,,,0,126,275,41,30
1250410500003,"Auburn Hills, Precinct 3",184,,,0,54,101,25,4
1250410500004,"Auburn Hills, Precinct 4",159,,,0,45,78,23,13
1250410500005,"Auburn Hills, Precinct 5",161,,,0,60,76,9,16
1250410500006,"Auburn Hills, Precinct 6",318,,,0,76,203,19,20
1250410500007,"Auburn Hills, Precinct 7",214,,,0,47,137,23,7
1250766000001,"Berkley, Precinct 1",693,,,0,202,365,56,70
1250766000002,"Berkley, Precinct 2",708,,,0,220,366,46,76
1250766000003,"Berkley, Precinct 3",557,,,0,170,314,35,38
1250766000004,"Berkley, Precinct 4",286,,,0,76,169,20,21
1250864000001,"Birmingham, Precinct 1",589,,,0,77,413,32,67
1250864000002,"Birmingham, Precinct 2",589,,,0,110,367,41,71
1250864000003,"Birmingham, Precinct 3",468,,,0,64,310,20,74
1250864000004,"Birmingham, Precinct 4",840,,,0,135,575,45,85
1250864000005,"Birmingham, Precinct 5",459,,,0,89,285,32,53
1250918000001,"Bloomfield Hills, Precinct 1",272,,,0,68,174,7,23
1250918000002,"Bloomfield Hills, Precinct 2",193,,,0,36,136,7,14
1251616000001,"Clawson, Precinct 1",348,,,0,84,192,46,26
1251616000002,"Clawson, Precinct 2",200,,,0,54,94,28,24
1251616000003,"Clawson, Precinct 3",406,,,1,119,210,42,34
1251616000004,"Clawson, Precinct 4",257,,,0,84,140,11,22
1252738000001,"Farmington, Precinct 1",252,,,0,57,154,14,27
1252738000002,"Farmington, Precinct 2",548,,,0,135,294,61,58
1252738000003,"Farmington, Precinct 3",539,,,0,183,276,31,49
1252744000001,"Farmington Hills, Precinct 1",0,,,0,0,0,0,0
1252744000002,"Farmington Hills, Precinct 2",0,,,0,0,0,0,0
1252744000003,"Farmington Hills, Precinct 3",0,,,0,0,0,0,0
1252744000004,"Farmington Hills, Precinct 4",0,,,0,0,0,0,0
1252744000005,"Farmington Hills, Precinct 5",0,,,0,0,0,0,0
1252744000006,"Farmington Hills, Precinct 6",407,,,0,73,269,33,32
1252744000007,"Farmington Hills, Precinct 7",408,,,1,68,284,28,27
1252744000008,"Farmington Hills, Precinct 8",528,,,0,146,293,32,57
1252744000009,"Farmington Hills, Precinct 9",571,,,0,199,306,27,39
1252744000010,"Farmington Hills, Precinct 10",378,,,0,75,240,35,28
1252744000011,"Farmington Hills, Precinct 11",820,,,0,198,483,69,70
1252744000012,"Farmington Hills, Precinct 12",355,,,0,70,231,20,34
1252744000013,"Farmington Hills, Precinct 13",199,,,0,56,118,13,12
1252744000014,"Farmington Hills, Precinct 14",427,,,0,104,268,32,23
1252744000015,"Farmington Hills, Precinct 15",178,,,0,60,94,19,5
1252744000016,"Farmington Hills, Precinct 16",688,,,0,179,411,44,54
1252744000017,"Farmington Hills, Precinct 17",482,,,0,151,290,24,17
1252744000018,"Farmington Hills, Precinct 18",387,,,0,118,206,33,30
1252744000019,"Farmington Hills, Precinct 19",428,,,0,110,212,54,52
1252744000020,"Farmington Hills, Precinct 20",346,,,1,88,198,22,37
1252744000021,"Farmington Hills, Precinct 21",519,,,0,151,302,38,28
1252744000022,"Farmington Hills, Precinct 22",57,,,0,23,18,11,5
1252744000023,"Farmington Hills, Precinct 23",39,,,0,12,14,6,7
1252788000001,"Ferndale, Precinct 1",730,,,0,207,424,32,67
1252788000002,"Ferndale, Precinct 2",511,,,0,201,259,23,28
1252788000003,"Ferndale, Precinct 3",762,,,0,266,397,38,61
1252788000004,"Ferndale, Precinct 4",430,,,1,164,202,35,28
1252788000005,"Ferndale, Precinct 5",450,,,0,193,199,24,34
1252788000006,"Ferndale, Precinct 6",516,,,1,196,246,42,31
1253742000001,"Hazel Park, Precinct 1",190,,,1,96,73,12,8
1253742000002,"Hazel Park, Precinct 2",181,,,0,71,74,23,13
1253742000003,"Hazel Park, Precinct 3",149,,,0,61,71,11,6
1253742000004,"Hazel Park, Precinct 4",183,,,0,67,79,25,12
1253742000005,"Hazel Park, Precinct 5",160,,,0,46,87,19,8
1253742000006,"Hazel Park, Precinct 6",157,,,0,54,72,14,17
1254000000001,"Huntington Woods, Precinct 1",603,,,0,66,495,9,33
1254000000002,"Huntington Woods, Precinct 2",586,,,0,74,473,7,32
1254000000003,"Huntington Woods, Precinct 3",586,,,0,92,456,16,22
1254246000001,"Keego Harbor, Precinct 1",161,,,0,47,81,22,11
1254444000001,"Lake Angelus, Precinct 1",0,,,0,0,0,0,0
1255056000001,"Madison Heights, Precinct 1",374,,,0,135,179,32,28
1255056000002,"Madison Heights, Precinct 2",252,,,1,69,131,29,22
1255056000003,"Madison Heights, Precinct 3",229,,,0,78,100,32,19
1255056000004,"Madison Heights, Precinct 4",384,,,0,104,207,33,40
1255056000005,"Madison Heights, Precinct 5",203,,,0,83,94,12,14
1255056000006,"Madison Heights, Precinct 6",497,,,2,130,294,41,30
1255056000007,"Madison Heights, Precinct 7",302,,,0,137,112,30,23
1255944000012,"Novi, Precinct 12",122,,,1,56,50,10,5
1255944000013,"Novi, Precinct 13",277,,,0,71,157,25,24
1255944000014,"Novi, Precinct 14",74,,,0,22,33,6,13
1255992000001,"Oak Park, Precinct 1",390,,,0,45,318,19,8
1255992000002,"Oak Park, Precinct 2",379,,,1,72,286,7,13
1255992000003,"Oak Park, Precinct 3",235,,,0,25,191,10,9
1255992000004,"Oak Park, Precinct 4",460,,,0,100,324,30,6
1255992000005,"Oak Park, Precinct 5",515,,,0,96,325,56,38
1255992000006,"Oak Park, Precinct 6",601,,,0,119,382,40,60
1255992000007,"Oak Park, Precinct 7",128,,,0,48,66,10,4
1255992000008,"Oak Park, Precinct 8",640,,,0,151,424,33,32
1255992000009,"Oak Park, Precinct 9",292,,,0,111,148,19,14
1255992000010,"Oak Park, Precinct 10",523,,,1,162,290,30,40
1256102000001,"Orchard Lake, Precinct 1",0,,,0,0,0,0,0
1256490000001,"Pleasant Ridge, Precinct 1",454,,,0,86,327,16,25
1256544001001,"Pontiac, Precinct 1",368,,,0,58,247,46,17
1256544001002,"Pontiac, Precinct 2",162,,,0,29,104,23,6
1256544001003,"Pontiac, Precinct 3",343,,,1,67,230,35,10
1256544002004,"Pontiac, Precinct 4",403,,,1,71,264,49,18
1256544002005,"Pontiac, Precinct 5",241,,,0,55,141,39,6
1256544002006,"Pontiac, Precinct 6",47,,,0,10,26,9,2
1256544003007,"Pontiac, Precinct 7",147,,,0,33,77,33,4
1256544003008,"Pontiac, Precinct 8",161,,,1,24,94,32,10
1256544004009,"Pontiac, Precinct 9",348,,,0,52,182,95,19
1256544004010,"Pontiac, Precinct 10",265,,,0,71,144,43,7
1256544005011,"Pontiac, Precinct 11",208,,,3,54,110,34,7
1256544005012,"Pontiac, Precinct 12",352,,,0,56,246,40,10
1256544006013,"Pontiac, Precinct 13",340,,,1,54,229,44,12
1256544006014,"Pontiac, Precinct 14",387,,,1,57,267,36,26
1257004000001,"Royal Oak, Precinct 1",789,,,1,250,417,52,69
1257004000002,"Royal Oak, Precinct 2",417,,,0,112,227,33,45
1257004000003,"Royal Oak, Precinct 3",617,,,0,260,226,76,55
1257004000004,"Royal Oak, Precinct 4",602,,,0,190,288,62,62
1257004000005,"Royal Oak, Precinct 5",703,,,1,237,345,50,70
1257004000006,"Royal Oak, Precinct 6",866,,,1,235,468,75,87
1257004000007,"Royal Oak, Precinct 7",783,,,0,194,391,86,112
1257004000008,"Royal Oak, Precinct 8",548,,,0,201,245,43,59
1257004000009,"Royal Oak, Precinct 9",521,,,0,145,291,34,51
1257004000010,"Royal Oak, Precinct 10",388,,,1,120,205,29,33
1257004000011,"Royal Oak, Precinct 11",353,,,0,95,185,41,32
1257004000012,"Royal Oak, Precinct 12",347,,,0,102,182,19,44
1257004000013,"Royal Oak, Precinct 13",435,,,0,172,203,25,35
1257004000014,"Royal Oak, Precinct 14",395,,,0,112,218,27,38
