id,name,total,over_votes,under_votes,Write-in,Debbie Dingell
1255946000001,"Novi Township, Precinct 1",36,,,0,36
1255898000002,"Northville, Precinct 2",212,,,1,211
1255944000001,"Novi, Precinct 1",169,,,2,167
1255944000002,"Novi, Precinct 2",230,,,2,228
1255944000003,"Novi, Precinct 3",140,,,1,139
1255944000004,"Novi, Precinct 4",155,,,2,153
1255944000005,"Novi, Precinct 5",157,,,1,156
1255944000006,"Novi, Precinct 6",150,,,2,148
1255944000007,"Novi, Precinct 7",152,,,1,151
1255944000008,"Novi, Precinct 8",168,,,2,166
1255944000009,"Novi, Precinct 9",120,,,1,119
1255944000010,"Novi, Precinct 10",133,,,1,132
1255944000011,"Novi, Precinct 11",131,,,0,131
1255944000015,"Novi, Precinct 15",173,,,1,172
1255944000016,"Novi, Precinct 16",207,,,2,205
1255944000018,"Novi, Precinct 18",162,,,2,160
1255944000019,"Novi, Precinct 19",137,,,1,136
1255944000020,"Novi, Precinct 20",91,,,0,91
1255944000021,"Novi, Precinct 21",153,,,0,153
1255944000022,"Novi, Precinct 22",119,,,1,118
1255944000023,"Novi, Precinct 23",122,,,6,116
1255944000024,"Novi, Precinct 24",127,,,0,127
1255944000025,"Novi, Precinct 25",65,,,0,65
