id,name,total,over_votes,under_votes,Write-in,Eric Chung,Tim Greimel,Christina Bertrand Hines
1256902000001,"Rochester, Precinct 1",380,,,0,89,164,127
1256902000002,"Rochester, Precinct 2",470,,,0,107,192,171
1256902000003,"Rochester, Precinct 3",334,,,0,85,128,121
1256903501001,"Rochester Hills, Precinct 1",370,,,1,78,199,92
1256903501002,"Rochester Hills, Precinct 2",335,,,1,63,176,95
1256903501003,"Rochester Hills, Precinct 3",355,,,0,79,144,132
1256903501004,"Rochester Hills, Precinct 4",399,,,0,73,209,117
1256903501005,"Rochester Hills, Precinct 5",404,,,0,79,184,141
1256903501006,"Rochester Hills, Precinct 6",448,,,1,120,171,156
1256903502007,"Rochester Hills, Precinct 7",639,,,0,124,355,160
1256903502008,"Rochester Hills, Precinct 8",555,,,0,109,260,186
1256903502009,"Rochester Hills, Precinct 9",443,,,0,92,193,158
1256903502010,"Rochester Hills, Precinct 10",181,,,0,50,84,47
1256903502011,"Rochester Hills, Precinct 11",283,,,0,64,119,100
1256903503012,"Rochester Hills, Precinct 12",579,,,0,134,235,210
1256903503013,"Rochester Hills, Precinct 13",401,,,0,97,154,150
1256903503014,"Rochester Hills, Precinct 14",380,,,2,90,159,129
1256903503015,"Rochester Hills, Precinct 15",430,,,0,132,130,168
1256903503016,"Rochester Hills, Precinct 16",191,,,2,53,63,73
1256903504017,"Rochester Hills, Precinct 17",473,,,0,118,190,165
1256903504018,"Rochester Hills, Precinct 18",195,,,0,36,58,101
1256903504019,"Rochester Hills, Precinct 19",223,,,0,70,74,79
1256903504020,"Rochester Hills, Precinct 20",387,,,1,99,133,154
1256903504021,"Rochester Hills, Precinct 21",188,,,1,60,48,79
