id,name,total,over_votes,under_votes,Write-in,Bridget Brink,William Lawrence,Matt Maasdam
1254982000001,"Lyon Township, Precinct 1",55,,,0,22,24,9
1254982000002,"Lyon Township, Precinct 2",29,,,0,8,14,7
1254982000003,"Lyon Township, Precinct 3",92,,,0,24,49,19
1254982000004,"Lyon Township, Precinct 4",127,,,0,46,55,26
1254982000005,"Lyon Township, Precinct 5",72,,,0,16,38,18
1254982000006,"Lyon Township, Precinct 6",171,,,0,56,69,46
1254982000007,"Lyon Township, Precinct 7",52,,,0,19,22,11
1254982000008,"Lyon Township, Precinct 8",122,,,2,43,50,27
1254982000009,"Lyon Township, Precinct 9",241,,,0,83,98,60
1254982000010,"Lyon Township, Precinct 10",89,,,0,34,35,20
1254982000011,"Lyon Township, Precinct 11",102,,,0,30,42,30
1255398000002,"Milford Township, Precinct 2",100,,,1,41,34,24
1255398000003,"Milford Township, Precinct 3",78,,,0,29,27,22
1255398000004,"Milford Township, Precinct 4",206,,,0,83,69,54
1255398000006,"Milford Township, Precinct 6",96,,,1,35,38,22
1257510000001,"South Lyon, Precinct 1",164,,,0,58,56,50
1257510000002,"South Lyon, Precinct 2",176,,,0,55,81,40
1257510000003,"South Lyon, Precinct 3",207,,,1,70,77,59
1257510000004,"South Lyon, Precinct 4",127,,,1,43,65,18
1257510000005,"South Lyon, Precinct 5",86,,,1,30,33,22
