id,name,total,over_votes,under_votes,Write-in,Ray Pooley
1250040000001,"Addison Township, Precinct 1",149,,,1,148
1250040000002,"Addison Township, Precinct 2",170,,,0,170
1250040000003,"Addison Township, Precinct 3",101,,,0,101
1251004000001,"Brandon Township, Precinct 1",180,,,0,180
1251004000002,"Brandon Township, Precinct 2",167,,,2,165
1251004000003,"Brandon Township, Precinct 3",185,,,1,184
1251004000004,"Brandon Township, Precinct 4",234,,,1,233
1251004000005,"Brandon Township, Precinct 5",55,,,0,55
1251004000006,"Brandon Township, Precinct 6",61,,,0,61
1253564000001,"Groveland Township, Precinct 1",63,,,0,63
1253564000002,"Groveland Township, Precinct 2",87,,,0,87
1253564000003,"Groveland Township, Precinct 3",117,,,2,115
1333810000001,"Highland Township, Precinct 1",303,,,1,302
1253808000002,"Highland Township, Precinct 2",367,,,1,366
1253808000003,"Highland Township, Precinct 3",284,,,0,284
1253808000004,"Highland Township, Precinct 4",267,,,0,267
1253808000005,"Highland Township, Precinct 5",124,,,2,122
1253872000001,"Holly Township, Precinct 1",118,,,1,117
1253872000002,"Holly Township, Precinct 2",134,,,0,134
1253872000003,"Holly Township, Precinct 3",158,,,0,158
1253872000004,"Holly Township, Precinct 4",207,,,0,207
1254040000001,"Independence Township, Precinct 1",258,,,1,257
1254040000002,"Independence Township, Precinct 2",287,,,1,286
1254040000003,"Independence Township, Precinct 3",396,,,0,396
1254040000004,"Independence Township, Precinct 4",340,,,0,340
1254040000005,"Independence Township, Precinct 5",396,,,0,396
1254040000006,"Independence Township, Precinct 6",366,,,1,365
1254040000007,"Independence Township, Precinct 7",279,,,3,276
1254040000008,"Independence Township, Precinct 8",261,,,0,261
1255398000001,"Milford Township, Precinct 1",225,,,0,225
1255398000005,"Milford Township, Precinct 5",287,,,1,286
1255398000007,"Milford Township, Precinct 7",154,,,0,154
1255982000001,"Oakland Township, Precinct 1",165,,,1,164
1255982000002,"Oakland Township, Precinct 2",277,,,1,276
1255982000003,"Oakland Township, Precinct 3",227,,,0,227
1255982000004,"Oakland Township, Precinct 4",178,,,1,177
1255982000005,"Oakland Township, Precinct 5",227,,,0,227
1255982000006,"Oakland Township, Precinct 6",204,,,1,203
1256110000001,"Orion Township, Precinct 1",337,,,0,337
1256110000002,"Orion Township, Precinct 2",171,,,1,170
1256110000003,"Orion Township, Precinct 3",170,,,1,169
1256110000004,"Orion Township, Precinct 4",200,,,0,200
1256110000005,"Orion Township, Precinct 5",196,,,2,194
1256110000006,"Orion Township, Precinct 6",211,,,0,211
1256110000007,"Orion Township, Precinct 7",293,,,0,293
1256110000008,"Orion Township, Precinct 8",306,,,0,306
1256110000009,"Orion Township, Precinct 9",250,,,0,250
1256110000010,"Orion Township, Precinct 10",188,,,0,188
1256110000011,"Orion Township, Precinct 11",271,,,0,271
1256204000001,"Oxford Township, Precinct 1",224,,,0,224
1256204000002,"Oxford Township, Precinct 2",296,,,1,295
1256204000003,"Oxford Township, Precinct 3",415,,,1,414
1256204000004,"Oxford Township, Precinct 4",297,,,1,296
1256204000005,"Oxford Township, Precinct 5",246,,,1,245
1296960000001,"Rose Township, Precinct 1",119,,,0,119
1256958000002,"Rose Township, Precinct 2",146,,,0,146
1256958000003,"Rose Township, Precinct 3",119,,,2,117
1257576000001,"Springfield Township, Precinct 1",174,,,0,174
1257576000002,"Springfield Township, Precinct 2",114,,,0,114
1257576000003,"Springfield Township, Precinct 3",138,,,0,138
1257576000004,"Springfield Township, Precinct 4",222,,,0,222
1257576000005,"Springfield Township, Precinct 5",147,,,0,147
1258686000001,"White Lake Township, Precinct 1",45,,,0,45
1258245000001,"Clarkston, Precinct 1",0,,,0,0
0492776000002,"Fenton, Precinct 2",0,,,0,0
