id,name,total,over_votes,under_votes,Write-in,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib
1257492000001,"Southfield Township, Precinct 1",23,,,0,2,4,17
1257492000002,"Southfield Township, Precinct 2",25,,,0,1,1,23
1257492000003,"Southfield Township, Precinct 3",18,,,0,4,0,14
1257492000004,"Southfield Township, Precinct 4",21,,,0,6,2,13
1257492000005,"Southfield Township, Precinct 5",34,,,0,4,2,28
1257492000006,"Southfield Township, Precinct 6",7,,,0,4,0,3
1257492000007,"Southfield Township, Precinct 7",43,,,0,5,8,30
1254632000001,"Lathrup Village, Precinct 1",75,,,0,12,2,61
1257490000001,"Southfield, Precinct 1",39,,,0,11,6,22
1257490000002,"Southfield, Precinct 2",46,,,0,7,4,35
1257490000003,"Southfield, Precinct 3",47,,,0,11,0,36
1257490000004,"Southfield, Precinct 4",39,,,0,8,1,30
1257490000005,"Southfield, Precinct 5",27,,,0,6,0,21
1257490000006,"Southfield, Precinct 6",46,,,0,15,8,23
1257490000007,"Southfield, Precinct 7",49,,,0,14,2,33
1257490000008,"Southfield, Precinct 8",25,,,0,5,0,20
1257490000009,"Southfield, Precinct 9",31,,,0,7,4,20
1257490000010,"Southfield, Precinct 10",29,,,0,6,0,23
1257490000011,"Southfield, Precinct 11",41,,,0,8,1,32
1257490000012,"Southfield, Precinct 12",29,,,0,7,3,19
1257490000013,"Southfield, Precinct 13",96,,,0,46,27,23
1257490000014,"Southfield, Precinct 14",70,,,0,34,24,12
1257490000015,"Southfield, Precinct 15",29,,,0,8,0,21
1257490000016,"Southfield, Precinct 16",31,,,0,5,1,25
1257490000017,"Southfield, Precinct 17",101,,,0,53,34,14
1257490000018,"Southfield, Precinct 18",21,,,0,7,1,13
1257490000019,"Southfield, Precinct 19",23,,,0,3,0,20
1257490000020,"Southfield, Precinct 20",23,,,0,4,2,17
1257490000021,"Southfield, Precinct 21",47,,,0,11,3,33
1257490000022,"Southfield, Precinct 22",14,,,0,3,1,10
1257490000023,"Southfield, Precinct 23",21,,,0,5,1,15
1257490000024,"Southfield, Precinct 24",19,,,0,3,1,15
1257490000025,"Southfield, Precinct 25",36,,,0,9,2,25
1257490000026,"Southfield, Precinct 26",55,,,0,22,11,22
1257490000027,"Southfield, Precinct 27",12,,,0,1,4,7
1257490000028,"Southfield, Precinct 28",7,,,0,1,0,6
1257490000029,"Southfield, Precinct 29",48,,,0,9,2,37
1257490000030,"Southfield, Precinct 30",34,,,0,13,1,20
1257490000031,"Southfield, Precinct 31",33,,,0,5,2,26
1257490000032,"Southfield, Precinct 32",22,,,0,5,2,15
1257490000033,"Southfield, Precinct 33",22,,,0,8,2,12
1257490000034,"Southfield, Precinct 34",17,,,0,5,1,11
1257490000035,"Southfield, Precinct 35",13,,,0,5,0,8
1257490000036,"Southfield, Precinct 36",17,,,0,1,2,14
