id,name,total,over_votes,under_votes,Write-in,Aisha Farooqi,Jeremy Moss,John Paul Torres,Don Ufford
1250911000001,"Bloomfield Township, Precinct 1",402,,,0,146,177,44,35
1250911000002,"Bloomfield Township, Precinct 2",669,,,1,248,322,36,62
1250911000003,"Bloomfield Township, Precinct 3",1128,,,5,327,552,128,116
1250911000004,"Bloomfield Township, Precinct 4",411,,,0,112,231,35,33
1250911000005,"Bloomfield Township, Precinct 5",1275,,,0,373,664,81,157
1250911000006,"Bloomfield Township, Precinct 6",545,,,2,154,293,40,56
1250911000007,"Bloomfield Township, Precinct 7",1324,,,0,331,807,73,113
1250911000008,"Bloomfield Township, Precinct 8",1089,,,1,239,708,55,86
1250911000009,"Bloomfield Township, Precinct 9",1411,,,1,293,915,77,125
1250911000010,"Bloomfield Township, Precinct 10",633,,,3,106,439,37,48
1250911000011,"Bloomfield Township, Precinct 11",1226,,,2,167,770,60,227
1250911000012,"Bloomfield Township, Precinct 12",475,,,0,113,261,35,66
1251764000001,"Commerce Township, Precinct 1",391,,,0,129,181,43,38
1251764000002,"Commerce Township, Precinct 2",391,,,0,123,203,30,35
1251764000003,"Commerce Township, Precinct 3",693,,,1,141,411,94,46
1251764000004,"Commerce Township, Precinct 4",440,,,0,136,184,62,58
1251764000005,"Commerce Township, Precinct 5",445,,,2,111,241,49,42
1251764000006,"Commerce Township, Precinct 6",371,,,3,88,200,53,27
1251764000007,"Commerce Township, Precinct 7",433,,,2,81,237,60,53
1251764000008,"Commerce Township, Precinct 8",450,,,1,107,234,52,56
1251764000009,"Commerce Township, Precinct 9",535,,,0,166,266,50,53
1251764000010,"Commerce Township, Precinct 10",435,,,0,133,206,57,39
1251764000011,"Commerce Township, Precinct 11",482,,,0,135,217,74,56
1251764000012,"Commerce Township, Precinct 12",245,,,2,73,104,31,35
1251764000013,"Commerce Township, Precinct 13",549,,,0,184,267,51,47
1251764000014,"Commerce Township, Precinct 14",237,,,0,84,102,36,15
1251764000015,"Commerce Township, Precinct 15",377,,,2,106,186,45,38
1254040000007,"Independence Township, Precinct 7",0,,,0,0,0,0,0
1257006000001,"Royal Oak Township, Precinct 1",259,,,0,100,135,18,6
1257006000002,"Royal Oak Township, Precinct 2",225,,,0,57,131,30,7
1258424000001,"Waterford Township, Precinct 1",149,,,0,28,56,57,8
1258424000002,"Waterford Township, Precinct 2",559,,,1,123,214,176,45
1258424000003,"Waterford Township, Precinct 3",516,,,1,153,164,165,33
1258424000004,"Waterford Township, Precinct 4",456,,,1,91,179,149,36
1258424000005,"Waterford Township, Precinct 5",564,,,0,121,217,184,42
