id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
1250040000001,"Addison Township, Precinct 1",288,,,1,138,23,126
1250040000002,"Addison Township, Precinct 2",337,,,1,146,16,174
1250040000003,"Addison Township, Precinct 3",178,,,0,71,12,95
1250911000001,"Bloomfield Township, Precinct 1",429,,,0,217,12,200
1250911000002,"Bloomfield Township, Precinct 2",734,,,1,386,16,331
1250911000003,"Bloomfield Township, Precinct 3",1210,,,1,576,28,605
1250911000004,"Bloomfield Township, Precinct 4",445,,,0,157,10,278
1250911000005,"Bloomfield Township, Precinct 5",1401,,,0,627,28,746
1250911000006,"Bloomfield Township, Precinct 6",591,,,0,288,24,279
1250911000007,"Bloomfield Township, Precinct 7",1447,,,0,522,25,900
1250911000008,"Bloomfield Township, Precinct 8",1164,,,0,392,31,741
1250911000009,"Bloomfield Township, Precinct 9",1527,,,0,555,46,926
1250911000010,"Bloomfield Township, Precinct 10",712,,,0,228,27,457
1250911000011,"Bloomfield Township, Precinct 11",1350,,,1,389,29,931
1250911000012,"Bloomfield Township, Precinct 12",521,,,0,229,18,274
1251004000001,"Brandon Township, Precinct 1",394,,,1,160,23,210
1251004000002,"Brandon Township, Precinct 2",391,,,0,154,19,218
1251004000003,"Brandon Township, Precinct 3",424,,,1,212,28,183
1251004000004,"Brandon Township, Precinct 4",470,,,1,224,22,223
1251004000005,"Brandon Township, Precinct 5",161,,,0,75,5,81
1251004000006,"Brandon Township, Precinct 6",216,,,0,127,4,85
1251764000001,"Commerce Township, Precinct 1",432,,,0,189,10,233
1251764000002,"Commerce Township, Precinct 2",453,,,1,195,13,244
1251764000003,"Commerce Township, Precinct 3",780,,,0,191,25,564
1251764000004,"Commerce Township, Precinct 4",495,,,0,248,14,233
1251764000005,"Commerce Township, Precinct 5",505,,,0,198,16,291
1251764000006,"Commerce Township, Precinct 6",415,,,0,190,4,221
1251764000007,"Commerce Township, Precinct 7",528,,,0,181,15,332
1251764000008,"Commerce Township, Precinct 8",503,,,0,162,18,323
1251764000009,"Commerce Township, Precinct 9",598,,,0,254,16,328
1251764000010,"Commerce Township, Precinct 10",506,,,2,216,17,271
1251764000011,"Commerce Township, Precinct 11",540,,,0,223,18,299
1251764000012,"Commerce Township, Precinct 12",267,,,0,113,13,141
1251764000013,"Commerce Township, Precinct 13",636,,,0,256,13,367
1251764000014,"Commerce Township, Precinct 14",251,,,0,150,4,97
1251764000015,"Commerce Township, Precinct 15",418,,,0,174,15,229
1253564000001,"Groveland Township, Precinct 1",172,,,0,81,5,86
1253564000002,"Groveland Township, Precinct 2",262,,,0,127,11,124
1253564000003,"Groveland Township, Precinct 3",309,,,0,155,15,139
1253808000001,"Highland Township, Precinct 1",662,,,0,311,14,337
1253808000002,"Highland Township, Precinct 2",694,,,0,312,20,362
1253808000003,"Highland Township, Precinct 3",607,,,0,240,10,357
1253808000004,"Highland Township, Precinct 4",573,,,0,231,17,325
1253808000005,"Highland Township, Precinct 5",321,,,0,126,8,187
1253872000001,"Holly Township, Precinct 1",397,,,0,222,11,164
1253872000002,"Holly Township, Precinct 2",349,,,0,203,10,136
1253872000003,"Holly Township, Precinct 3",436,,,0,224,22,190
1253872000004,"Holly Township, Precinct 4",442,,,0,215,13,214
1254040000001,"Independence Township, Precinct 1",520,,,0,245,23,252
1254040000002,"Independence Township, Precinct 2",711,,,0,317,29,365
1254040000003,"Independence Township, Precinct 3",850,,,0,316,37,497
1254040000004,"Independence Township, Precinct 4",826,,,0,343,38,445
1254040000005,"Independence Township, Precinct 5",881,,,2,381,46,452
1254040000006,"Independence Township, Precinct 6",829,,,1,387,43,398
1254040000007,"Independence Township, Precinct 7",665,,,0,323,30,312
1254040000008,"Independence Township, Precinct 8",634,,,2,340,21,271
1254982000001,"Lyon Township, Precinct 1",196,,,0,80,1,115
1254982000002,"Lyon Township, Precinct 2",138,,,0,67,8,63
1254982000003,"Lyon Township, Precinct 3",335,,,0,199,6,130
1254982000004,"Lyon Township, Precinct 4",373,,,0,168,8,197
1254982000005,"Lyon Township, Precinct 5",316,,,0,129,12,175
1254982000006,"Lyon Township, Precinct 6",499,,,0,222,13,264
1254982000007,"Lyon Township, Precinct 7",133,,,0,66,5,62
1254982000008,"Lyon Township, Precinct 8",390,,,1,146,15,228
1254982000009,"Lyon Township, Precinct 9",612,,,0,297,19,296
1254982000010,"Lyon Township, Precinct 10",258,,,0,117,3,138
1254982000011,"Lyon Township, Precinct 11",436,,,0,188,16,232
1255398000001,"Milford Township, Precinct 1",543,,,0,203,21,319
1255398000002,"Milford Township, Precinct 2",342,,,0,139,8,195
1255398000003,"Milford Township, Precinct 3",372,,,1,119,20,232
1255398000004,"Milford Township, Precinct 4",693,,,0,331,14,348
1255398000005,"Milford Township, Precinct 5",669,,,0,306,15,348
1255398000006,"Milford Township, Precinct 6",411,,,0,166,23,222
1255398000007,"Milford Township, Precinct 7",337,,,0,158,7,172
1255946000001,"Novi Township, Precinct 1",43,,,0,27,0,16
1255982000001,"Oakland Township, Precinct 1",410,,,0,209,10,191
1255982000002,"Oakland Township, Precinct 2",628,,,1,309,15,303
1255982000003,"Oakland Township, Precinct 3",551,,,0,287,16,248
1255982000004,"Oakland Township, Precinct 4",334,,,0,164,13,157
1255982000005,"Oakland Township, Precinct 5",608,,,0,290,21,297
1255982000006,"Oakland Township, Precinct 6",497,,,0,208,11,278
1256110000001,"Orion Township, Precinct 1",813,,,0,410,38,365
1256110000002,"Orion Township, Precinct 2",396,,,0,188,22,186
1256110000003,"Orion Township, Precinct 3",401,,,0,197,15,189
1256110000004,"Orion Township, Precinct 4",437,,,0,187,26,224
1256110000005,"Orion Township, Precinct 5",457,,,0,236,25,196
1256110000006,"Orion Township, Precinct 6",472,,,0,214,17,241
1256110000007,"Orion Township, Precinct 7",763,,,0,421,31,311
1256110000008,"Orion Township, Precinct 8",700,,,0,327,24,349
1256110000009,"Orion Township, Precinct 9",539,,,0,279,21,239
1256110000010,"Orion Township, Precinct 10",487,,,0,260,25,202
1256110000011,"Orion Township, Precinct 11",690,,,0,374,33,283
1256204000001,"Oxford Township, Precinct 1",550,,,0,310,20,220
1256204000002,"Oxford Township, Precinct 2",754,,,1,343,51,359
1256204000003,"Oxford Township, Precinct 3",1002,,,0,487,53,462
1256204000004,"Oxford Township, Precinct 4",725,,,0,349,39,337
1256204000005,"Oxford Township, Precinct 5",504,,,0,237,23,244
1256958000001,"Rose Township, Precinct 1",266,,,0,127,14,125
1256958000002,"Rose Township, Precinct 2",301,,,0,128,9,164
1256958000003,"Rose Township, Precinct 3",303,,,1,134,6,162
1257006000001,"Royal Oak Township, Precinct 1",282,,,0,86,12,184
1257006000002,"Royal Oak Township, Precinct 2",238,,,1,67,7,163
1257492000001,"Southfield Township, Precinct 1",650,,,0,327,31,292
1257492000002,"Southfield Township, Precinct 2",758,,,0,338,10,410
1257492000003,"Southfield Township, Precinct 3",524,,,0,242,8,274
1257492000004,"Southfield Township, Precinct 4",362,,,0,164,7,191
1257492000005,"Southfield Township, Precinct 5",758,,,1,350,22,385
1257492000006,"Southfield Township, Precinct 6",370,,,0,119,7,244
1257492000007,"Southfield Township, Precinct 7",1076,,,1,322,27,726
1257576000001,"Springfield Township, Precinct 1",458,,,0,209,15,234
1257576000002,"Springfield Township, Precinct 2",287,,,0,117,7,163
1257576000003,"Springfield Township, Precinct 3",375,,,0,157,10,208
1257576000004,"Springfield Township, Precinct 4",552,,,0,247,23,282
1257576000005,"Springfield Township, Precinct 5",346,,,0,163,10,173
1258424000001,"Waterford Township, Precinct 1",175,,,0,68,8,99
1258424000002,"Waterford Township, Precinct 2",620,,,0,268,22,330
1258424000003,"Waterford Township, Precinct 3",567,,,1,248,9,309
1258424000004,"Waterford Township, Precinct 4",493,,,1,209,15,268
1258424000005,"Waterford Township, Precinct 5",611,,,0,247,14,350
1258424000006,"Waterford Township, Precinct 6",513,,,1,214,15,283
1258424000007,"Waterford Township, Precinct 7",558,,,0,265,15,278
1258424000008,"Waterford Township, Precinct 8",511,,,0,205,18,288
1258424000009,"Waterford Township, Precinct 9",592,,,0,236,19,337
1258424000010,"Waterford Township, Precinct 10",367,,,1,138,11,217
1258424000011,"Waterford Township, Precinct 11",444,,,0,180,7,257
1258424000012,"Waterford Township, Precinct 12",594,,,0,268,16,310
1258424000013,"Waterford Township, Precinct 13",579,,,1,269,21,288
1258424000014,"Waterford Township, Precinct 14",447,,,2,194,21,230
1258424000015,"Waterford Township, Precinct 15",540,,,0,237,14,289
1258424000016,"Waterford Township, Precinct 16",557,,,0,239,24,294
1258424000017,"Waterford Township, Precinct 17",604,,,0,299,21,284
1258424000018,"Waterford Township, Precinct 18",601,,,0,272,18,311
1258424000019,"Waterford Township, Precinct 19",538,,,0,247,20,271
1258424000020,"Waterford Township, Precinct 20",516,,,0,226,18,272
1258424000021,"Waterford Township, Precinct 21",556,,,0,225,19,312
1258548000001,"West Bloomfield Township, Precinct 1",990,,,1,279,18,692
1258548000002,"West Bloomfield Township, Precinct 2",982,,,0,287,16,679
1258548000003,"West Bloomfield Township, Precinct 3",1474,,,0,328,16,1130
1258548000004,"West Bloomfield Township, Precinct 4",679,,,0,248,17,414
