id,name,total,over_votes,under_votes,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt
1430432000001,"Au Sable Township, Precinct 1",48,,,0,7,23,16,2
1430472000001,"Backus Township, Precinct 1",69,,,0,8,35,26,0
1432164000001,"Denton Township, Precinct 1",564,,,4,90,257,203,10
1432164000002,"Denton Township, Precinct 2",477,,,0,74,216,174,13
1433196000001,"Gerrish Township, Precinct 1",698,,,1,115,324,248,10
1433802000001,"Higgins Township, Precinct 1",219,,,0,31,85,98,5
1434440000001,"Lake Township, Precinct 1",245,,,0,33,101,108,3
1434984000001,"Lyon Township, Precinct 1",298,,,0,46,119,131,2
1435178000001,"Markey Township, Precinct 1",464,,,1,65,247,135,16
1435698000001,"Nester Township, Precinct 1",66,,,0,7,31,26,2
1436820000001,"Richfield Township, Precinct 1",650,,,5,105,286,249,5
1436956000001,"Roscommon Township, Precinct 1",342,,,0,68,150,113,11
1436956000002,"Roscommon Township, Precinct 2",367,,,4,60,142,156,5
