id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
1430432000001,"Au Sable Township, Precinct 1",37,,,0,19,0,18
1430472000001,"Backus Township, Precinct 1",37,,,0,12,1,24
1432164000001,"Denton Township, Precinct 1",404,,,0,118,18,268
1432164000002,"Denton Township, Precinct 2",268,,,0,87,21,160
1433196000001,"Gerrish Township, Precinct 1",546,,,2,169,31,344
1433802000001,"Higgins Township, Precinct 1",191,,,0,77,11,103
1434440000001,"Lake Township, Precinct 1",190,,,1,48,18,123
1434984000001,"Lyon Township, Precinct 1",222,,,0,65,8,149
1435178000001,"Markey Township, Precinct 1",374,,,1,129,20,224
1435698000001,"Nester Township, Precinct 1",50,,,0,10,5,35
1436820000001,"Richfield Township, Precinct 1",444,,,1,133,36,274
1436956000001,"Roscommon Township, Precinct 1",238,,,1,76,11,150
1436956000002,"Roscommon Township, Precinct 2",225,,,0,71,12,142
