id,name,total,over_votes,under_votes,Write-in,Jack Bergman,Matthew DenOtter,Justin Michal
1430432000001,"Au Sable Township, Precinct 1",45,,,0,32,6,7
1430472000001,"Backus Township, Precinct 1",68,,,0,57,9,2
1432164000001,"Denton Township, Precinct 1",535,,,1,411,80,43
1432164000002,"Denton Township, Precinct 2",454,,,0,358,56,40
1433196000001,"Gerrish Township, Precinct 1",673,,,0,507,96,70
1433802000001,"Higgins Township, Precinct 1",213,,,0,128,36,49
1434440000001,"Lake Township, Precinct 1",242,,,0,179,37,26
1434984000001,"Lyon Township, Precinct 1",295,,,0,217,48,30
1435178000001,"Markey Township, Precinct 1",452,,,2,331,63,56
1435698000001,"Nester Township, Precinct 1",66,,,0,59,5,2
1436820000001,"Richfield Township, Precinct 1",632,,,4,454,100,74
1436956000001,"Roscommon Township, Precinct 1",326,,,2,250,43,31
1436956000002,"Roscommon Township, Precinct 2",359,,,0,284,38,37
