name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
"Columbus Township, Precinct 1",21,9,0,0
"Lakefield Township, Precinct 1",171,29,16,0
"McMillan Township, Precinct 1",229,42,20,0
"Pentland Township, Precinct 1",186,32,7,0
