name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"Columbus Township, Precinct 1",2,18,10,0,0
"Lakefield Township, Precinct 1",37,109,69,1,0
"McMillan Township, Precinct 1",63,128,95,7,2
"Portland Township, Precinct 1",39,110,78,4,0
