name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"Columbus Township, Precinct 1",8,2,0
"Lakefield Township, Precinct 1",78,10,0
"McMillan Township, Precinct 1",151,28,0
"Pentland Township, Precinct 1",106,18,1
