name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
"Columbus Township, Precinct 1",3,5,1,0
"Lakefield Township, Precinct 1",37,44,3,0
"McMillan Township, Precinct 1",88,58,23,2
"Pentland Township, Precinct 1",71,31,13,1
