id,name,board,Mike Cox,John James,Perry Johnson,Aric Nesbitt,registered,ballots,over_votes,under_votes,total,turnout,Write-in
1296968000001,"City of Rose City, Ward 1, Precinct 1",,9,25,20,1,432,86,0,0,55,19.91,0
1298558000001,"City of West Branch, Ward 1, Precinct 1",,25,153,81,8,1795,551,0,0,267,30.7,1
1291574000001,"Churchill Township, Precinct 1",,53,152,138,8,1470,560,0,0,351,38.1,0
1291926000001,"Cumming Township, Precinct 1",,22,66,52,3,665,259,0,0,143,38.95,0
1292502000001,"Edwards Township, Precinct 1",,39,159,95,4,1253,481,0,0,297,38.39,0
1292986000001,"Foster Township, Precinct 1",,29,88,66,1,785,307,0,0,184,39.11,2
1293286000001,"Goodar Township, Precinct 1",,10,36,35,0,411,126,0,0,81,30.66,0
1293830000001,"Hill Township, Precinct 1",,46,106,92,4,1384,473,0,0,248,34.18,0
1293932000001,"Horton Township, Precinct 1",,16,82,58,2,830,239,0,0,158,28.8,0
1294364000001,"Klacking Township, Precinct 1",,17,60,56,2,536,217,0,0,135,40.49,0
1294916000001,"Logan Township, Precinct 1",,6,40,40,3,499,166,0,0,89,33.27,3
1295434000001,"Mills Township, Precinct 1",,41,116,114,2,4945,432,0,0,273,8.74,0
1295434000002,"Mills Township, Precinct 2",,46,92,105,6,2336,467,0,0,249,19.99,2
1296030000001,"Ogemaw Township, Precinct 1",,20,102,85,2,1034,386,0,0,209,37.33,0
1296832000001,"Richland Township, Precinct 1",,9,52,47,1,746,216,0,0,109,28.95,2
1296960000001,"Rose Township, Precinct 1",,29,104,108,3,1175,425,0,0,244,36.17,0
1298560000001,"West Branch Township, Precinct 1",,79,226,192,10,2277,819,0,0,507,35.97,3
