id,name,board,Jocelyn Benson,Christopher Robert Swanson,registered,ballots,over_votes,under_votes,total,turnout,Write-in
1296968000001,"City of Rose City, Ward 1, Precinct 1",,17,9,432,86,0,0,26,19.91,0
1298558000001,"City of West Branch, Ward 1, Precinct 1",,169,81,1795,551,0,0,250,30.7,1
1291574000001,"Churchill Township, Precinct 1",,126,57,1470,560,0,0,183,38.1,1
1291926000001,"Cumming Township, Precinct 1",,55,43,665,259,0,0,98,38.95,0
1292502000001,"Edwards Township, Precinct 1",,116,49,1253,481,0,0,165,38.39,0
1292986000001,"Foster Township, Precinct 1",,70,39,785,307,0,0,109,39.11,0
1293286000001,"Goodar Township, Precinct 1",,25,17,411,126,0,0,42,30.66,0
1293830000001,"Hill Township, Precinct 1",,132,76,1384,473,0,0,208,34.18,0
1293932000001,"Horton Township, Precinct 1",,34,38,830,239,0,0,72,28.8,0
1294364000001,"Klacking Township, Precinct 1",,41,23,536,217,0,0,64,40.49,0
1294916000001,"Logan Township, Precinct 1",,35,31,499,166,0,0,66,33.27,0
1295434000001,"Mills Township, Precinct 1",,73,65,4945,432,0,0,138,8.74,1
1295434000002,"Mills Township, Precinct 2",,101,81,2336,467,0,0,182,19.99,2
1296030000001,"Ogemaw Township, Precinct 1",,97,50,1034,386,0,0,147,37.33,1
1296832000001,"Richland Township, Precinct 1",,41,56,746,216,0,0,97,28.95,0
1296960000001,"Rose Township, Precinct 1",,97,51,1175,425,0,0,148,36.17,0
1298560000001,"West Branch Township, Precinct 1",,178,83,2277,819,0,0,261,35.97,1
