name,id,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
"Bath Charter Township, Precinct 1",370590000001,186,16,151
"Bath Charter Township, Precinct 2",370590000002,265,31,169
"Bath Charter Township, Precinct 3",370590000003,180,19,164
"Bath Charter Township, Precinct 4",370590000004,398,45,308
"Bath Charter Township, Precinct 5",370590000005,199,15,164
"Bengal Township, Precinct 1",370724000001,59,8,89
"Bingham Township, Precinct 1",370840000001,172,30,247
"Dallas Township, Precinct 1",371962000001,68,9,89
"City of DeWitt, Precinct 1",372212000001,591,34,476
"DeWitt Charter Township, Precinct 1",372214000001,341,35,248
"DeWitt Charter Township, Precinct 2",372214000002,188,22,185
"DeWitt Charter Township, Precinct 3",372214000003,255,17,279
"DeWitt Charter Township, Precinct 4",372214000004,131,21,132
"DeWitt Charter Township, Precinct 5",372214000005,284,17,160
"DeWitt Charter Township, Precinct 6",372214000006,111,10,148
"DeWitt Charter Township, Precinct 7",372214000007,205,27,183
"Duplain Township, Precinct 1",372346000001,79,20,118
"Eagle Township, Precinct 1",372358000001,240,23,221
"City of East Lansing, Precinct 8",372412000008,354,26,167
"Essex Township, Precinct 1",372640000001,61,13,84
"Greenbush Township, Precinct 1",373484000001,124,8,159
"Lebanon Township, Precinct 1",374658000001,11,4,23
"Olive Township, Precinct 1",376044000001,170,24,234
"City of Ovid, Precinct 1",376186000001,51,7,47
"Ovid Township, Precinct 1",376188000001,113,13,154
"Riley Township, Precinct 1",376860000001,111,22,129
"City of St. Johns, Precinct 1",377094000001,414,41,348
"City of St. Johns, Precinct 2",377094000002,207,24,175
"Victor Township, Precinct 1",378232000001,300,42,308
"Watertown Charter Township, Precinct 1",378440000001,229,24,222
"Watertown Charter Township, Precinct 2",378440000002,346,34,239
"Westphalia Township, Precinct 1",378614000001,43,7,83
