id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Jocelyn Benson,Christopher Robert Swanson
1270730000001,"Benona Township, Precinct 1",,1454,586,0,0,273,40.3,244,29
1271620000001,"Claybanks Township, Precinct 1",,810,296,0,0,114,36.54,98,16
1271718000001,"Colfax Township, Precinct 1",,384,107,0,0,40,27.86,37,3
1271910000001,"Crystal Township, Precinct 1",,598,131,0,0,43,21.91,33,10
1272520000001,"Elbridge Township, Precinct 1",,789,253,0,0,82,32.07,72,10
1272794000001,"Ferry Township, Precinct 1",,1117,267,0,0,98,23.9,82,16
1273278000001,"Golden Township, Precinct 1",,1640,526,0,0,209,32.07,187,22
1273440000001,"Grant Township, Precinct 1",,2509,589,0,0,215,23.48,186,29
1273516000001,"Greenwood Township, Precinct 1",,907,199,0,0,81,21.94,73,8
1273694000001,"Hart Township, Precinct 1",,1668,500,0,0,189,29.98,161,28
1274656000001,"Leavitt Township, Precinct 1",,744,171,0,0,56,22.98,51,5
1275730000001,"Newfield Township, Precinct 1",,2075,656,0,0,291,31.61,253,38
1276178000001,"Otto Township, Precinct 1",,767,180,0,0,65,23.47,54,11
1276356000001,"Pentwater Township, Precinct 1",,1561,893,0,0,519,57.21,487,32
1277286000001,"Shelby Township, Precinct 1",,3154,780,0,0,332,24.73,301,31
1278504000001,"Weare Township, Precinct 1",,1066,326,0,0,122,30.58,99,23
1273692000001,"City of Hart, Precinct 1",,1626,358,0,0,178,22.02,155,23
