id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Mike Cox,John James,Perry Johnson,Aric Nesbitt
1270730000001,"Benona Township, Precinct 1",,1454,586,0,0,284,40.3,33,170,77,4
1271620000001,"Claybanks Township, Precinct 1",,810,296,0,0,172,36.54,21,102,45,4
1271718000001,"Colfax Township, Precinct 1",,384,107,0,0,65,27.86,6,33,26,0
1271910000001,"Crystal Township, Precinct 1",,598,131,0,0,85,21.91,8,40,34,3
1272520000001,"Elbridge Township, Precinct 1",,789,253,0,0,153,32.07,25,80,46,2
1272794000001,"Ferry Township, Precinct 1",,1117,267,0,0,161,23.9,9,79,72,1
1273278000001,"Golden Township, Precinct 1",,1640,526,0,0,307,32.07,34,162,109,2
1273440000001,"Grant Township, Precinct 1",,2509,589,0,0,352,23.48,70,156,118,8
1273516000001,"Greenwood Township, Precinct 1",,907,199,0,0,112,21.94,14,55,39,4
1273694000001,"Hart Township, Precinct 1",,1668,500,0,0,292,29.98,36,161,90,5
1274656000001,"Leavitt Township, Precinct 1",,744,171,0,0,106,22.98,11,47,46,2
1275730000001,"Newfield Township, Precinct 1",,2075,656,0,0,336,31.61,41,163,123,9
1276178000001,"Otto Township, Precinct 1",,767,180,0,0,112,23.47,19,42,51,0
1276356000001,"Pentwater Township, Precinct 1",,1561,893,0,0,351,57.21,46,188,105,12
1277286000001,"Shelby Township, Precinct 1",,3154,780,0,0,404,24.73,46,215,136,7
1278504000001,"Weare Township, Precinct 1",,1066,326,0,0,183,30.58,28,102,49,4
1273692000001,"City of Hart, Precinct 1",,1626,358,0,0,168,22.02,29,79,51,9
