id,name,total,over_votes,under_votes,Write-in,John Moolenaar
454222000001,"Kalamo Township, Precinct 1",40,,,0,40
457744000001,"Sunfield Township, Precinct 1",86,,,0,86
458198000001,"Vermontville Township, Precinct 1",0,,,0,0
