id,name,total,over_votes,under_votes,Write-in,Tom Barrett
450708000001,"Bellevue Township, Precinct 1",316,,,0,316
450744000001,"Benton Charter Township, Precinct 1",375,,,0,375
451092000001,"Brookfield Township, Precinct 1",148,,,0,148
451338000001,"Carmel Township, Precinct 1",412,,,0,412
451526000001,"Chester Township, Precinct 1",298,,,0,298
452152000001,"Delta Charter Township, Precinct 1",215,,,0,215
452152000002,"Delta Charter Township, Precinct 2",316,,,0,316
452152000004,"Delta Charter Township, Precinct 4",112,,,0,112
452152000005,"Delta Charter Township, Precinct 5",415,,,0,415
452152000006,"Delta Charter Township, Precinct 6",215,,,0,215
452152000007,"Delta Charter Township, Precinct 7",167,,,0,167
452152000008,"Delta Charter Township, Precinct 8",117,,,0,117
452152000014,"Delta Charter Township, Precinct 14",255,,,0,255
452152000015,"Delta Charter Township, Precinct 15",373,,,0,373
452152000016,"Delta Charter Township, Precinct 16",368,,,0,368
452452000001,"Eaton Township, Precinct 1",577,,,0,577
452456000001,"Eaton Rapids Township, Precinct 1",507,,,0,507
453620000001,"Hamlin Township, Precinct 1",372,,,0,372
454222000002,"Kalamo Township, Precinct 2",118,,,0,118
456070000001,"Oneida Charter Township, Precinct 1",551,,,0,551
457002000001,"Roxand Township, Precinct 1",235,,,0,235
458318000001,"Walton Township, Precinct 1",240,,,0,240
458784000001,"Windsor Charter Township, Precinct 1",357,,,0,357
458784000002,"Windsor Charter Township, Precinct 2",449,,,0,449
451482001001,"City of Charlotte, District 1, Precinct 1",319,,,0,319
451482002001,"City of Charlotte, District 2, Precinct 1",379,,,0,379
452454000001,"City of Eaton Rapids, Precinct 1",101,,,0,101
452454000002,"City of Eaton Rapids, Precinct 2",116,,,0,116
452454000003,"City of Eaton Rapids, Precinct 3",125,,,0,125
453342000001,"City of Grand Ledge, Precinct 1",173,,,0,173
453342000002,"City of Grand Ledge, Precinct 2",187,,,0,187
453342000003,"City of Grand Ledge, Precinct 3",150,,,0,150
453342000004,"City of Grand Ledge, Precinct 4",136,,,0,136
456058000001,"City of Olivet, Precinct 1",72,,,0,72
456610000001,"City of Potterville, Precinct 1",211,,,0,211
454600003022,"City of Lansing, Ward 3, Precinct 22",60,,,0,60
