id,name,total,over_votes,under_votes,Write-in,John Moolenaar
454222000001,"Kalamo Township, Precinct 1",55,,,0,55
457744000001,"Sunfield Township, Precinct 1",186,,,0,186
458198000001,"Vermontville Township, Precinct 1",225,,,0,225
