id,name,total,over_votes,under_votes,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt
450708000001,"Bellevue Township, Precinct 1",191,,,0,25,86,76,4
450744000001,"Benton Charter Township, Precinct 1",216,,,0,16,115,85,0
451092000001,"Brookfield Township, Precinct 1",84,,,0,9,38,35,2
451338000001,"Carmel Township, Precinct 1",239,,,0,28,124,85,2
451526000001,"Chester Township, Precinct 1",191,,,0,25,92,72,2
452152000001,"Delta Charter Township, Precinct 1",86,,,0,2,58,25,1
452152000002,"Delta Charter Township, Precinct 2",115,,,0,8,67,39,1
452152000004,"Delta Charter Township, Precinct 4",31,,,0,0,23,8,0
452152000005,"Delta Charter Township, Precinct 5",139,,,0,12,86,41,0
452152000006,"Delta Charter Township, Precinct 6",86,,,0,10,54,21,1
452152000007,"Delta Charter Township, Precinct 7",54,,,0,5,33,15,1
452152000008,"Delta Charter Township, Precinct 8",45,,,0,8,26,11,0
452152000014,"Delta Charter Township, Precinct 14",112,,,0,13,67,32,0
452152000015,"Delta Charter Township, Precinct 15",98,,,0,1,70,26,1
452152000016,"Delta Charter Township, Precinct 16",133,,,0,11,80,40,2
452452000001,"Eaton Township, Precinct 1",318,,,0,28,162,125,3
452456000001,"Eaton Rapids Township, Precinct 1",289,,,0,29,166,90,4
453620000001,"Hamlin Township, Precinct 1",252,,,0,21,141,88,2
454222000001,"Kalamo Township, Precinct 1",56,,,0,4,28,22,2
454222000002,"Kalamo Township, Precinct 2",68,,,0,4,45,18,1
456070000001,"Oneida Charter Township, Precinct 1",260,,,0,24,139,90,7
457002000001,"Roxand Township, Precinct 1",159,,,0,12,72,74,1
457744000001,"Sunfield Township, Precinct 1",200,,,0,19,88,88,5
458198000001,"Vermontville Township, Precinct 1",247,,,0,34,125,86,2
458318000001,"Walton Township, Precinct 1",166,,,0,25,80,59,2
458784000001,"Windsor Charter Township, Precinct 1",155,,,0,8,87,59,1
458784000002,"Windsor Charter Township, Precinct 2",214,,,0,20,109,80,5
451482001001,"City of Charlotte, District 1, Precinct 1",154,,,0,12,82,58,2
451482002001,"City of Charlotte, District 2, Precinct 1",175,,,0,21,90,63,1
452454000001,"City of Eaton Rapids, Precinct 1",65,,,0,3,35,27,0
452454000002,"City of Eaton Rapids, Precinct 2",77,,,0,8,35,30,4
452454000003,"City of Eaton Rapids, Precinct 3",74,,,0,9,41,22,2
453342000001,"City of Grand Ledge, Precinct 1",100,,,0,12,52,34,2
453342000002,"City of Grand Ledge, Precinct 2",93,,,0,7,59,26,1
453342000003,"City of Grand Ledge, Precinct 3",78,,,0,7,35,36,0
453342000004,"City of Grand Ledge, Precinct 4",43,,,0,2,28,11,2
456058000001,"City of Olivet, Precinct 1",74,,,0,23,35,16,0
456610000001,"City of Potterville, Precinct 1",138,,,0,15,72,49,2
454600003022,"City of Lansing, Ward 3, Precinct 22",31,,,0,1,20,9,1
