id,name,total,over_votes,under_votes,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt
450708000001,"Bellevue Township, Precinct 1",331,,,0,54,148,123,6
450744000001,"Benton Charter Township, Precinct 1",395,,,0,31,190,167,7
451092000001,"Brookfield Township, Precinct 1",162,,,0,13,68,73,8
451338000001,"Carmel Township, Precinct 1",443,,,0,72,208,158,5
451526000001,"Chester Township, Precinct 1",307,,,0,51,139,112,5
452152000001,"Delta Charter Township, Precinct 1",232,,,0,36,133,59,4
452152000002,"Delta Charter Township, Precinct 2",346,,,0,45,208,91,2
452152000004,"Delta Charter Township, Precinct 4",121,,,0,20,72,28,1
452152000005,"Delta Charter Township, Precinct 5",445,,,0,79,242,120,4
452152000006,"Delta Charter Township, Precinct 6",225,,,0,32,130,60,3
452152000007,"Delta Charter Township, Precinct 7",174,,,0,31,95,44,4
452152000008,"Delta Charter Township, Precinct 8",123,,,0,19,69,35,0
452152000014,"Delta Charter Township, Precinct 14",268,,,0,45,142,80,1
452152000015,"Delta Charter Township, Precinct 15",395,,,0,58,232,101,4
452152000016,"Delta Charter Township, Precinct 16",397,,,0,55,217,118,7
452452000001,"Eaton Township, Precinct 1",606,,,0,86,297,212,11
452456000001,"Eaton Rapids Township, Precinct 1",548,,,0,83,271,188,6
453620000001,"Hamlin Township, Precinct 1",398,,,0,48,197,149,4
454222000001,"Kalamo Township, Precinct 1",102,,,0,13,45,41,3
454222000002,"Kalamo Township, Precinct 2",120,,,0,15,65,38,2
456070000001,"Oneida Charter Township, Precinct 1",588,,,0,99,295,180,14
457002000001,"Roxand Township, Precinct 1",239,,,0,24,106,105,4
457744000001,"Sunfield Township, Precinct 1",308,,,0,36,128,132,12
458198000001,"Vermontville Township, Precinct 1",253,,,0,34,127,90,2
458318000001,"Walton Township, Precinct 1",256,,,0,47,115,88,6
458784000001,"Windsor Charter Township, Precinct 1",378,,,0,34,183,159,2
458784000002,"Windsor Charter Township, Precinct 2",486,,,0,74,233,170,9
451482001001,"City of Charlotte, District 1, Precinct 1",331,,,0,59,154,115,3
451482002001,"City of Charlotte, District 2, Precinct 1",403,,,0,72,185,143,3
452454000001,"City of Eaton Rapids, Precinct 1",105,,,0,10,59,36,0
452454000002,"City of Eaton Rapids, Precinct 2",116,,,0,17,52,42,5
452454000003,"City of Eaton Rapids, Precinct 3",135,,,0,28,66,37,4
453342000001,"City of Grand Ledge, Precinct 1",178,,,0,26,87,59,6
453342000002,"City of Grand Ledge, Precinct 2",193,,,0,22,110,57,4
453342000003,"City of Grand Ledge, Precinct 3",163,,,0,23,74,66,0
453342000004,"City of Grand Ledge, Precinct 4",146,,,0,30,78,35,3
456058000001,"City of Olivet, Precinct 1",74,,,0,23,35,16,0
456610000001,"City of Potterville, Precinct 1",223,,,0,31,116,71,5
454600003022,"City of Lansing, Ward 3, Precinct 22",64,,,0,11,26,25,2
