name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"City of Ludington, Precinct 1",27,132,74,4,0
"City of Ludington, Precinct 2",40,76,37,4,0
"City of Ludington, Precinct 3",23,112,60,1,0
"City of Ludington, Precinct 4",18,48,31,7,1
"City of Ludington, Precinct 5",32,77,40,2,1
"City of Ludington, Precinct 6",12,62,44,7,2
"City of Scottville, Precinct 1",21,55,34,3,3
"Amber Township, Precinct 1",81,183,113,10,0
"Branch Township, Precinct 1",24,76,72,3,2
"Custer Township, Precinct 1",39,107,78,6,0
"Eden Township, Precinct 1",20,41,43,2,0
"Free Soil Township, Precinct 1",18,65,79,6,0
"Grant Township, Precinct 1",25,54,71,2,0
"Hamlin Township, Precinct 1",105,405,184,14,3
"Logan Township, Precinct 1",15,28,27,2,0
"Meade Township, Precinct 1",6,10,15,1,0
"Pere Marquette Charter Township, Precinct 1",64,204,110,8,0
"Riverton Township, Precinct 1",21,93,62,1,2
"Sheridan Township, Precinct 1",28,69,74,5,0
"Sherman Township, Precinct 1",16,79,68,2,1
"Summit Township, Precinct 1",28,94,50,1,0
"Victory Township, Precinct 1",34,125,65,1,1
