name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"City of Ludington, Precinct 1",114,14,115,0
"City of Ludington, Precinct 2",110,11,97,0
"City of Ludington, Precinct 3",118,3,115,0
"City of Ludington, Precinct 4",80,6,62,0
"City of Ludington, Precinct 5",78,16,85,1
"City of Ludington, Precinct 6",113,4,62,0
"City of Scottville, Precinct 1",41,5,36,0
"Amber Township, Precinct 1",112,10,143,1
"Branch Township, Precinct 1",80,4,68,0
"Custer Township, Precinct 1",25,10,54,0
"Eden Township, Precinct 1",42,3,19,1
"Free Soil Township, Precinct 1",41,3,34,0
"Grant Township, Precinct 1",57,8,67,0
"Hamlin Township, Precinct 1",262,32,321,0
"Logan Township, Precinct 1",15,3,25,0
"Meade Township, Precinct 1",8,2,7,0
"Pere Marquette Charter Township, Precinct 1",158,19,187,0
"Riverton Township, Precinct 1",50,8,62,0
"Sheridan Township, Precinct 1",37,9,78,1
"Sherman Township, Precinct 1",40,7,42,0
"Summit Township, Precinct 1",72,7,78,0
"Victory Township, Precinct 1",78,5,58,0
