name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
"Oliver Township, Precinct 1",40,15,4,0
"Rapid River Township, Precinct 1",101,31,18,0
"Bear Lake Township, Precinct 1",104,21,13,0
"Boardman Township, Precinct 1",189,27,26,0
"Springfield Township, Precinct 1",143,28,16,0
"Excelsior Township, Precinct 1",104,37,22,0
"Clearwater Township, Precinct 1",288,51,34,0
"Kalkaska Township, Precinct 1",247,46,49,0
"Kalkaska Township, Precinct 2",169,28,34,0
"Garfield Township, Precinct 1",125,21,20,0
"Orange Township, Precinct 1",128,30,18,0
"Coldsprings Township, Precinct 1",211,54,33,0
"Blue Lake Township, Precinct 1",83,21,20,0
