name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"Oliver Township, Precinct 1",18,5,0
"Rapid River Township, Precinct 1",83,24,0
"Bear Lake Township, Precinct 1",84,18,0
"Boardman Township, Precinct 1",114,26,0
"Springfield Township, Precinct 1",115,15,0
"Excelsior Township, Precinct 1",70,18,0
"Clearwater Township, Precinct 1",283,51,0
"Kalkaska Township, Precinct 1",181,48,0
"Kalkaska Township, Precinct 2",154,42,0
"Garfield Township, Precinct 1",83,26,0
"Orange Township, Precinct 1",86,19,0
"Coldsprings Township, Precinct 1",156,29,0
"Blue Lake Township, Precinct 1",76,16,0
