id,name,total,over_votes,under_votes,Write-in,Christina Bertrand Hines,Eric Chung,Tim Greimel
991432000001,"Center Line, Precinct 1",96,,,0,45,29,22
991432000002,"Center Line, Precinct 2",134,,,0,70,38,26
991432000003,"Center Line, Precinct 3",222,,,0,108,62,52
991432000004,"Center Line, Precinct 4",53,,,0,26,13,14
992429000001,"Eastpointe, Precinct 1",338,,,0,197,77,64
992429000002,"Eastpointe, Precinct 2",279,,,0,184,50,45
992429000003,"Eastpointe, Precinct 3",286,,,0,167,71,48
992429000004,"Eastpointe, Precinct 4",424,,,5,252,78,89
992429000005,"Eastpointe, Precinct 5",469,,,1,278,120,70
992429000006,"Eastpointe, Precinct 6",272,,,0,159,52,61
992429000007,"Eastpointe, Precinct 7",407,,,3,230,94,80
992429000008,"Eastpointe, Precinct 8",385,,,1,257,70,57
993042000001,"Fraser, Precinct 1",255,,,0,121,73,61
993042000002,"Fraser, Precinct 2",298,,,0,140,65,93
993042000003,"Fraser, Precinct 3",215,,,1,145,40,29
993042000004,"Fraser, Precinct 4",197,,,0,89,48,60
993042000005,"Fraser, Precinct 5",273,,,1,145,53,74
998245300002,Grosse Pointe Shores 2,0,,,0,0,0,0
995582000001,"Mount Clemens, Precinct 1",124,,,0,64,34,26
995582000002,"Mount Clemens, Precinct 2",137,,,0,64,39,34
995582000003,"Mount Clemens, Precinct 3",210,,,1,122,45,42
995582000004,"Mount Clemens, Precinct 4",125,,,1,79,36,9
995582000005,"Mount Clemens, Precinct 5",198,,,0,106,50,42
995582000006,"Mount Clemens, Precinct 6",263,,,2,149,72,40
996980000001,"Roseville, Precinct 1",167,,,1,91,54,21
996980000002,"Roseville, Precinct 2",249,,,2,123,66,58
996980000003,"Roseville, Precinct 3",189,,,1,103,49,36
996980000004,"Roseville, Precinct 4",265,,,0,134,77,54
996980000005,"Roseville, Precinct 5",225,,,1,108,53,63
996980000006,"Roseville, Precinct 6",202,,,1,115,52,34
996980000007,"Roseville, Precinct 7",234,,,2,115,65,52
996980000008,"Roseville, Precinct 8",274,,,0,142,73,59
996980000009,"Roseville, Precinct 9",255,,,0,159,71,25
996980000010,"Roseville, Precinct 10",101,,,0,56,29,16
996980000011,"Roseville, Precinct 11",265,,,3,139,56,67
996980000012,"Roseville, Precinct 12",297,,,1,157,52,87
997076000001,"St. Clair Shores, Precinct 1",448,,,2,246,120,80
997076000002,"St. Clair Shores, Precinct 2",342,,,0,184,78,80
997076000003,"St. Clair Shores, Precinct 3",491,,,1,287,99,104
997076000004,"St. Clair Shores, Precinct 4",360,,,0,185,87,88
997076000005,"St. Clair Shores, Precinct 5",292,,,1,158,73,60
997076000006,"St. Clair Shores, Precinct 6",426,,,2,234,99,91
997076000007,"St. Clair Shores, Precinct 7",534,,,2,273,138,121
997076000008,"St. Clair Shores, Precinct 8",644,,,1,337,170,136
997076000009,"St. Clair Shores, Precinct 9",498,,,0,279,124,95
997076000010,"St. Clair Shores, Precinct 10",586,,,0,259,172,155
