id,name,total,over_votes,under_votes,Write-in,Christina Bertrand Hines,Eric Chung,Tim Greimel
991432000001,"Center Line, Precinct 1",156,,,3,56,68,29
991432000002,"Center Line, Precinct 2",84,,,1,39,26,18
991432000003,"Center Line, Precinct 3",227,,,2,123,80,22
991432000004,"Center Line, Precinct 4",76,,,1,29,31,15
992429000001,"Eastpointe, Precinct 1",226,,,1,59,137,29
992429000002,"Eastpointe, Precinct 2",193,,,1,111,67,14
992429000003,"Eastpointe, Precinct 3",229,,,3,117,68,41
992429000004,"Eastpointe, Precinct 4",309,,,0,148,123,38
992429000005,"Eastpointe, Precinct 5",304,,,0,78,211,15
992429000006,"Eastpointe, Precinct 6",185,,,2,98,65,20
992429000007,"Eastpointe, Precinct 7",254,,,4,143,68,39
992429000008,"Eastpointe, Precinct 8",229,,,5,104,104,16
993042000001,"Fraser, Precinct 1",154,,,2,76,61,15
993042000002,"Fraser, Precinct 2",184,,,1,96,49,38
993042000003,"Fraser, Precinct 3",144,,,0,83,39,22
993042000004,"Fraser, Precinct 4",113,,,0,64,38,11
993042000005,"Fraser, Precinct 5",122,,,2,73,33,14
998245300002,Grosse Pointe Shores 2,8,,,0,4,2,2
995582000001,"Mount Clemens, Precinct 1",127,,,0,49,50,28
995582000002,"Mount Clemens, Precinct 2",176,,,1,78,60,37
995582000003,"Mount Clemens, Precinct 3",187,,,2,108,58,19
995582000004,"Mount Clemens, Precinct 4",95,,,1,47,36,11
995582000005,"Mount Clemens, Precinct 5",129,,,0,58,49,22
995582000006,"Mount Clemens, Precinct 6",145,,,1,83,41,20
996980000001,"Roseville, Precinct 1",166,,,2,70,69,25
996980000002,"Roseville, Precinct 2",176,,,2,89,52,33
996980000003,"Roseville, Precinct 3",161,,,1,82,64,14
996980000004,"Roseville, Precinct 4",246,,,3,110,106,27
996980000005,"Roseville, Precinct 5",147,,,0,80,41,26
996980000006,"Roseville, Precinct 6",196,,,2,88,77,29
996980000007,"Roseville, Precinct 7",237,,,2,109,102,24
996980000008,"Roseville, Precinct 8",143,,,1,73,47,22
996980000009,"Roseville, Precinct 9",189,,,3,112,61,13
996980000010,"Roseville, Precinct 10",102,,,1,37,41,23
996980000011,"Roseville, Precinct 11",168,,,0,96,44,28
996980000012,"Roseville, Precinct 12",185,,,1,105,58,21
997076000001,"St. Clair Shores, Precinct 1",296,,,0,139,122,35
997076000002,"St. Clair Shores, Precinct 2",299,,,1,148,96,54
997076000003,"St. Clair Shores, Precinct 3",335,,,2,177,123,33
997076000004,"St. Clair Shores, Precinct 4",182,,,1,95,55,31
997076000005,"St. Clair Shores, Precinct 5",199,,,2,93,76,28
997076000006,"St. Clair Shores, Precinct 6",221,,,2,104,83,32
997076000007,"St. Clair Shores, Precinct 7",280,,,1,163,86,30
997076000008,"St. Clair Shores, Precinct 8",310,,,3,154,104,49
997076000009,"St. Clair Shores, Precinct 9",263,,,3,138,92,30
997076000010,"St. Clair Shores, Precinct 10",286,,,0,152,89,45
997076000011,"St. Clair Shores, Precinct 11",281,,,6,131,98,46
997076000012,"St. Clair Shores, Precinct 12",234,,,2,119,79,34
997646000001,"Sterling Heights, Precinct 1",169,,,4,75,62,28
997646000002,"Sterling Heights, Precinct 2",218,,,2,116,66,34
997646000003,"Sterling Heights, Precinct 3",152,,,1,67,56,28
997646000004,"Sterling Heights, Precinct 4",187,,,1,71,89,26
997646000005,"Sterling Heights, Precinct 5",134,,,1,70,39,24
997646000006,"Sterling Heights, Precinct 6",120,,,1,56,49,14
997646000007,"Sterling Heights, Precinct 7",110,,,0,41,44,25
997646000008,"Sterling Heights, Precinct 8",122,,,1,49,48,24
997646000009,"Sterling Heights, Precinct 9",101,,,1,48,37,15
997646000010,"Sterling Heights, Precinct 10",144,,,2,48,69,25
997646000011,"Sterling Heights, Precinct 11",130,,,1,46,51,32
