id,name,total,over_votes,under_votes,Write-in,Lisa McClain
995296000001,"Memphis, Precinct 1",3,,,0,3
995710000001,"New Baltimore, Precinct 1",101,,,0,101
995710000002,"New Baltimore, Precinct 2",98,,,0,98
995710000003,"New Baltimore, Precinct 3",192,,,1,191
995710000004,"New Baltimore, Precinct 4",169,,,1,168
995710000005,"New Baltimore, Precinct 5",150,,,2,148
996838000001,"Richmond, Precinct 1",211,,,0,211
996838000002,"Richmond, Precinct 2",173,,,0,173
990354000001,"Armada Township, Precinct 1",259,,,2,257
990354000002,"Armada Township, Precinct 2",145,,,1,144
991130000001,"Bruce Township, Precinct 1",96,,,0,96
991130000002,"Bruce Township, Precinct 2",207,,,1,206
991130000003,"Bruce Township, Precinct 3",198,,,2,196
991130000004,"Bruce Township, Precinct 4",172,,,0,172
991534000001,"Chesterfield Township, Precinct 1",351,,,1,350
991534000002,"Chesterfield Township, Precinct 2",256,,,1,255
991534000003,"Chesterfield Township, Precinct 3",569,,,1,568
991534000004,"Chesterfield Township, Precinct 4",418,,,3,415
991534000005,"Chesterfield Township, Precinct 5",270,,,1,269
991534000006,"Chesterfield Township, Precinct 6",268,,,0,268
991534000007,"Chesterfield Township, Precinct 7",146,,,0,146
991534000008,"Chesterfield Township, Precinct 8",186,,,0,186
991534000009,"Chesterfield Township, Precinct 9",311,,,0,311
991534000010,"Chesterfield Township, Precinct 10",356,,,3,353
994690000001,"Lenox Township, Precinct 1",136,,,1,135
994690000002,"Lenox Township, Precinct 2",171,,,0,171
994690000003,"Lenox Township, Precinct 3",99,,,1,98
994690000004,"Lenox Township, Precinct 4",29,,,1,28
995048000003,"Macomb Township, Precinct 3",166,,,0,166
995048000004,"Macomb Township, Precinct 4",158,,,0,158
995048000005,"Macomb Township, Precinct 5",392,,,0,392
995048000006,"Macomb Township, Precinct 6",71,,,3,68
995048000009,"Macomb Township, Precinct 9",327,,,0,327
995048000010,"Macomb Township, Precinct 10",157,,,0,157
995048000012,"Macomb Township, Precinct 12",31,,,0,31
995048000013,"Macomb Township, Precinct 13",351,,,1,350
995048000014,"Macomb Township, Precinct 14",337,,,2,335
995048000015,"Macomb Township, Precinct 15",253,,,1,252
995048000016,"Macomb Township, Precinct 16",341,,,0,341
995048000017,"Macomb Township, Precinct 17",113,,,1,112
995048000018,"Macomb Township, Precinct 18",356,,,0,356
995048000019,"Macomb Township, Precinct 19",482,,,3,479
995048000020,"Macomb Township, Precinct 20",180,,,2,178
995048000021,"Macomb Township, Precinct 21",222,,,1,221
995048000022,"Macomb Township, Precinct 22",219,,,0,219
995048000023,"Macomb Township, Precinct 23",94,,,0,94
995048000024,"Macomb Township, Precinct 24",193,,,0,193
996742000001,"Ray Township, Precinct 1",164,,,0,164
996742000002,"Ray Township, Precinct 2",191,,,0,191
996840000001,"Richmond Township, Precinct 1",23,,,0,23
996840000002,"Richmond Township, Precinct 2",26,,,0,26
998412000001,"Washington Township, Precinct 1",383,,,1,382
998412000002,"Washington Township, Precinct 2",269,,,0,269
998412000003,"Washington Township, Precinct 3",290,,,0,290
998412000004,"Washington Township, Precinct 4",711,,,0,711
998412000005,"Washington Township, Precinct 5",315,,,0,315
998412000006,"Washington Township, Precinct 6",428,,,1,427
998412000007,"Washington Township, Precinct 7",333,,,1,332
