id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Justin Kirk,Robert Lulgjuraj,Steffan Demetropoulos
998400004030,"Warren, Precinct 30",140,,,0,100,25,11,4
998400001031,"Warren, Precinct 31",44,,,0,36,6,2,0
998400002032,"Warren, Precinct 32",135,,,0,106,17,9,3
998400002033,"Warren, Precinct 33",71,,,0,56,12,1,2
998400001034,"Warren, Precinct 34",51,,,0,34,12,4,1
998400001035,"Warren, Precinct 35",45,,,0,33,6,5,1
998400002036,"Warren, Precinct 36",132,,,0,109,14,5,4
998400005037,"Warren, Precinct 37",97,,,1,76,10,6,4
998400005038,"Warren, Precinct 38",108,,,1,78,23,5,1
998400005039,"Warren, Precinct 39",73,,,0,57,8,6,2
998400002040,"Warren, Precinct 40",107,,,0,80,13,5,9
998400001041,"Warren, Precinct 41",64,,,0,47,16,0,1
998400001042,"Warren, Precinct 42",157,,,0,117,24,10,6
998400002043,"Warren, Precinct 43",72,,,0,51,13,5,3
998400003044,"Warren, Precinct 44",164,,,1,131,20,9,3
998400004045,"Warren, Precinct 45",104,,,0,79,17,3,5
998400003046,"Warren, Precinct 46",186,,,0,146,31,4,5
998400004047,"Warren, Precinct 47",87,,,0,72,11,4,0
998400003048,"Warren, Precinct 48",68,,,0,58,5,3,2
998400003049,"Warren, Precinct 49",152,,,1,108,25,8,10
998400002050,"Warren, Precinct 50",107,,,0,80,16,4,7
998400001051,"Warren, Precinct 51",56,,,0,38,12,5,1
998400001052,"Warren, Precinct 52",91,,,0,78,8,2,3
998400004053,"Warren, Precinct 53",164,,,0,100,46,11,7
991652000001,"Clinton Township, Precinct 1",268,,,0,173,61,26,8
991652000002,"Clinton Township, Precinct 2",370,,,0,256,93,15,6
991652000003,"Clinton Township, Precinct 3",410,,,1,320,64,11,14
991652000004,"Clinton Township, Precinct 4",93,,,0,62,18,6,7
991652000005,"Clinton Township, Precinct 5",334,,,0,228,64,25,17
991652000006,"Clinton Township, Precinct 6",579,,,0,422,116,29,12
991652000007,"Clinton Township, Precinct 7",223,,,0,165,40,9,9
991652000008,"Clinton Township, Precinct 8",429,,,1,263,97,27,41
991652000009,"Clinton Township, Precinct 9",230,,,0,152,51,20,7
991652000010,"Clinton Township, Precinct 10",493,,,0,311,122,42,18
991652000011,"Clinton Township, Precinct 11",337,,,0,250,62,16,9
991652000012,"Clinton Township, Precinct 12",236,,,0,139,70,12,15
991652000013,"Clinton Township, Precinct 13",247,,,0,175,48,17,7
991652000014,"Clinton Township, Precinct 14",281,,,0,209,44,21,7
991652000015,"Clinton Township, Precinct 15",233,,,0,167,44,13,9
991652000016,"Clinton Township, Precinct 16",173,,,0,128,29,8,8
991652000017,"Clinton Township, Precinct 17",166,,,1,112,36,13,4
991652000018,"Clinton Township, Precinct 18",128,,,0,101,15,9,3
993682000001,"Harrison Township, Precinct 1",284,,,0,207,46,18,13
993682000002,"Harrison Township, Precinct 2",313,,,0,215,62,23,13
993682000003,"Harrison Township, Precinct 3",459,,,2,317,93,23,24
993682000004,"Harrison Township, Precinct 4",377,,,0,253,86,26,12
993682000005,"Harrison Township, Precinct 5",299,,,1,227,51,15,5
993682000006,"Harrison Township, Precinct 6",212,,,1,147,38,15,11
995048000001,"Macomb Township, Precinct 1",269,,,0,191,48,18,12
995048000002,"Macomb Township, Precinct 2",316,,,3,248,43,11,11
995048000007,"Macomb Township, Precinct 7",219,,,0,154,39,18,8
995048000008,"Macomb Township, Precinct 8",334,,,0,232,64,12,26
995048000011,"Macomb Township, Precinct 11",196,,,0,127,56,9,4
997282000001,"Shelby Charter Township, Precinct 1",201,,,0,150,37,9,5
997282000002,"Shelby Charter Township, Precinct 2",397,,,0,322,50,16,9
997282000003,"Shelby Charter Township, Precinct 3",401,,,0,273,87,23,18
997282000004,"Shelby Charter Township, Precinct 4",336,,,1,232,64,27,12
997282000005,"Shelby Charter Township, Precinct 5",297,,,0,213,56,15,13
997282000006,"Shelby Charter Township, Precinct 6",95,,,0,76,8,7,4
997282000007,"Shelby Charter Township, Precinct 7",79,,,0,60,11,3,5
997282000008,"Shelby Charter Township, Precinct 8",159,,,0,124,21,11,3
