id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Justin Kirk,Robert Lulgjuraj,Steffan Demetropoulos
991652000007,"Clinton Township, Precinct 7",108,,,0,71,26,5,6
991652000008,"Clinton Township, Precinct 8",195,,,2,118,48,22,5
991652000009,"Clinton Township, Precinct 9",123,,,1,75,31,12,4
991652000010,"Clinton Township, Precinct 10",237,,,0,136,73,17,11
991652000011,"Clinton Township, Precinct 11",195,,,0,124,45,15,11
991652000012,"Clinton Township, Precinct 12",141,,,0,91,38,5,7
991652000013,"Clinton Township, Precinct 13",179,,,2,115,39,13,10
991652000014,"Clinton Township, Precinct 14",284,,,0,181,77,22,4
991652000015,"Clinton Township, Precinct 15",237,,,0,163,48,13,13
991652000016,"Clinton Township, Precinct 16",148,,,0,94,39,7,8
991652000017,"Clinton Township, Precinct 17",139,,,0,90,39,5,5
991652000018,"Clinton Township, Precinct 18",98,,,0,65,26,4,3
993682000001,"Harrison Township, Precinct 1",157,,,0,108,32,9,8
993682000002,"Harrison Township, Precinct 2",235,,,0,152,57,13,13
993682000003,"Harrison Township, Precinct 3",282,,,1,185,69,15,12
993682000004,"Harrison Township, Precinct 4",328,,,2,174,133,12,7
993682000005,"Harrison Township, Precinct 5",214,,,1,155,42,9,7
993682000006,"Harrison Township, Precinct 6",153,,,0,86,55,7,5
995048000001,"Macomb Township, Precinct 1",188,,,0,111,58,8,11
995048000002,"Macomb Township, Precinct 2",197,,,0,127,38,17,15
995048000007,"Macomb Township, Precinct 7",166,,,0,101,44,9,12
995048000008,"Macomb Township, Precinct 8",256,,,0,165,76,6,9
995048000011,"Macomb Township, Precinct 11",186,,,0,114,59,12,1
997282000001,"Shelby Charter Township, Precinct 1",98,,,0,68,18,8,4
997282000002,"Shelby Charter Township, Precinct 2",200,,,0,121,63,12,4
997282000003,"Shelby Charter Township, Precinct 3",210,,,0,103,91,8,8
997282000004,"Shelby Charter Township, Precinct 4",200,,,1,95,90,10,4
997282000005,"Shelby Charter Township, Precinct 5",235,,,0,127,90,15,3
997282000006,"Shelby Charter Township, Precinct 6",84,,,0,55,21,6,2
997282000007,"Shelby Charter Township, Precinct 7",54,,,0,35,16,1,2
997282000008,"Shelby Charter Township, Precinct 8",109,,,1,78,15,8,7
997282000009,"Shelby Charter Township, Precinct 9",133,,,1,76,33,17,6
997282000010,"Shelby Charter Township, Precinct 10",206,,,1,118,64,13,10
997282000011,"Shelby Charter Township, Precinct 11",83,,,3,45,18,10,7
997282000012,"Shelby Charter Township, Precinct 12",326,,,0,170,130,22,4
997282000013,"Shelby Charter Township, Precinct 13",264,,,1,170,52,25,16
997282000014,"Shelby Charter Township, Precinct 14",254,,,1,160,71,16,6
997282000015,"Shelby Charter Township, Precinct 15",158,,,0,117,15,14,12
997282000016,"Shelby Charter Township, Precinct 16",130,,,0,84,34,10,2
997282000017,"Shelby Charter Township, Precinct 17",183,,,0,111,43,22,7
997282000018,"Shelby Charter Township, Precinct 18",164,,,0,112,24,17,11
997282000019,"Shelby Charter Township, Precinct 19",189,,,0,99,57,22,11
997282000020,"Shelby Charter Township, Precinct 20",224,,,1,138,66,13,6
