id,name,total,over_votes,under_votes,Write-in,Christina Bertrand Hines,Eric Chung,Tim Greimel
991432000001,"Center Line, Precinct 1",264,,,3,107,102,52
991432000002,"Center Line, Precinct 2",232,,,1,114,68,49
991432000003,"Center Line, Precinct 3",467,,,2,244,145,76
991432000004,"Center Line, Precinct 4",133,,,1,56,47,29
992429000001,"Eastpointe, Precinct 1",588,,,1,269,220,98
992429000002,"Eastpointe, Precinct 2",502,,,1,309,128,64
992429000003,"Eastpointe, Precinct 3",535,,,3,295,143,94
992429000004,"Eastpointe, Precinct 4",760,,,5,415,212,128
992429000005,"Eastpointe, Precinct 5",794,,,1,367,339,87
992429000006,"Eastpointe, Precinct 6",471,,,2,261,125,83
992429000007,"Eastpointe, Precinct 7",683,,,7,385,170,121
992429000008,"Eastpointe, Precinct 8",637,,,6,377,179,75
993042000001,"Fraser, Precinct 1",427,,,2,209,138,78
993042000002,"Fraser, Precinct 2",516,,,1,254,126,135
993042000003,"Fraser, Precinct 3",373,,,1,240,79,53
993042000004,"Fraser, Precinct 4",328,,,0,165,90,73
993042000005,"Fraser, Precinct 5",406,,,3,223,89,91
998245300002,Grosse Pointe Shores 2,10,,,0,5,3,2
995582000001,"Mount Clemens, Precinct 1",261,,,0,117,88,56
995582000002,"Mount Clemens, Precinct 2",331,,,1,151,106,73
995582000003,"Mount Clemens, Precinct 3",418,,,3,241,109,65
995582000004,"Mount Clemens, Precinct 4",235,,,2,131,81,21
995582000005,"Mount Clemens, Precinct 5",341,,,0,169,102,70
995582000006,"Mount Clemens, Precinct 6",439,,,3,250,123,63
996980000001,"Roseville, Precinct 1",349,,,3,167,127,52
996980000002,"Roseville, Precinct 2",457,,,4,233,127,93
996980000003,"Roseville, Precinct 3",361,,,2,189,115,55
996980000004,"Roseville, Precinct 4",534,,,3,254,193,84
996980000005,"Roseville, Precinct 5",382,,,1,194,97,90
996980000006,"Roseville, Precinct 6",414,,,3,215,130,66
996980000007,"Roseville, Precinct 7",482,,,4,229,172,77
996980000008,"Roseville, Precinct 8",444,,,1,228,131,84
996980000009,"Roseville, Precinct 9",462,,,3,282,135,42
996980000010,"Roseville, Precinct 10",207,,,1,93,73,40
996980000011,"Roseville, Precinct 11",453,,,3,247,106,97
996980000012,"Roseville, Precinct 12",513,,,2,285,115,111
997076000001,"St. Clair Shores, Precinct 1",796,,,2,405,267,122
997076000002,"St. Clair Shores, Precinct 2",669,,,1,348,182,138
997076000003,"St. Clair Shores, Precinct 3",869,,,3,486,235,145
997076000004,"St. Clair Shores, Precinct 4",567,,,1,294,150,122
997076000005,"St. Clair Shores, Precinct 5",507,,,3,258,153,93
997076000006,"St. Clair Shores, Precinct 6",698,,,4,366,194,134
997076000007,"St. Clair Shores, Precinct 7",848,,,3,450,237,158
997076000008,"St. Clair Shores, Precinct 8",1006,,,4,520,294,188
997076000009,"St. Clair Shores, Precinct 9",799,,,3,432,231,133
997076000010,"St. Clair Shores, Precinct 10",914,,,0,427,278,209
997076000011,"St. Clair Shores, Precinct 11",817,,,7,426,224,160
997076000012,"St. Clair Shores, Precinct 12",615,,,3,337,155,120
997646000001,"Sterling Heights, Precinct 1",320,,,4,133,120,63
