id,name,total,over_votes,under_votes,Write-in,Christina Bertrand Hines,Eric Chung,Tim Greimel
991432000001,"Center Line, Precinct 1",108,,,0,51,34,23
991432000002,"Center Line, Precinct 2",148,,,0,75,42,31
991432000003,"Center Line, Precinct 3",240,,,0,121,65,54
991432000004,"Center Line, Precinct 4",57,,,0,27,16,14
992429000001,"Eastpointe, Precinct 1",362,,,0,210,83,69
992429000002,"Eastpointe, Precinct 2",309,,,0,198,61,50
992429000003,"Eastpointe, Precinct 3",306,,,0,178,75,53
992429000004,"Eastpointe, Precinct 4",451,,,5,267,89,90
992429000005,"Eastpointe, Precinct 5",490,,,1,289,128,72
992429000006,"Eastpointe, Precinct 6",286,,,0,163,60,63
992429000007,"Eastpointe, Precinct 7",429,,,3,242,102,82
992429000008,"Eastpointe, Precinct 8",408,,,1,273,75,59
993042000001,"Fraser, Precinct 1",273,,,0,133,77,63
993042000002,"Fraser, Precinct 2",332,,,0,158,77,97
993042000003,"Fraser, Precinct 3",229,,,1,157,40,31
993042000004,"Fraser, Precinct 4",215,,,0,101,52,62
993042000005,"Fraser, Precinct 5",284,,,1,150,56,77
998245300002,Grosse Pointe Shores 2,2,,,0,1,1,0
995582000001,"Mount Clemens, Precinct 1",134,,,0,68,38,28
995582000002,"Mount Clemens, Precinct 2",155,,,0,73,46,36
995582000003,"Mount Clemens, Precinct 3",231,,,1,133,51,46
995582000004,"Mount Clemens, Precinct 4",140,,,1,84,45,10
995582000005,"Mount Clemens, Precinct 5",212,,,0,111,53,48
995582000006,"Mount Clemens, Precinct 6",294,,,2,167,82,43
996980000001,"Roseville, Precinct 1",183,,,1,97,58,27
996980000002,"Roseville, Precinct 2",281,,,2,144,75,60
996980000003,"Roseville, Precinct 3",200,,,1,107,51,41
996980000004,"Roseville, Precinct 4",288,,,0,144,87,57
996980000005,"Roseville, Precinct 5",235,,,1,114,56,64
996980000006,"Roseville, Precinct 6",218,,,1,127,53,37
996980000007,"Roseville, Precinct 7",245,,,2,120,70,53
996980000008,"Roseville, Precinct 8",301,,,0,155,84,62
996980000009,"Roseville, Precinct 9",273,,,0,170,74,29
996980000010,"Roseville, Precinct 10",105,,,0,56,32,17
996980000011,"Roseville, Precinct 11",285,,,3,151,62,69
996980000012,"Roseville, Precinct 12",328,,,1,180,57,90
997076000001,"St. Clair Shores, Precinct 1",500,,,2,266,145,87
997076000002,"St. Clair Shores, Precinct 2",370,,,0,200,86,84
997076000003,"St. Clair Shores, Precinct 3",534,,,1,309,112,112
997076000004,"St. Clair Shores, Precinct 4",385,,,0,199,95,91
997076000005,"St. Clair Shores, Precinct 5",308,,,1,165,77,65
997076000006,"St. Clair Shores, Precinct 6",477,,,2,262,111,102
997076000007,"St. Clair Shores, Precinct 7",568,,,2,287,151,128
997076000008,"St. Clair Shores, Precinct 8",696,,,1,366,190,139
997076000009,"St. Clair Shores, Precinct 9",536,,,0,294,139,103
997076000010,"St. Clair Shores, Precinct 10",628,,,0,275,189,164
997076000011,"St. Clair Shores, Precinct 11",536,,,1,295,126,114
997076000012,"St. Clair Shores, Precinct 12",381,,,1,218,76,86
997646000001,"Sterling Heights, Precinct 1",151,,,0,58,58,35
997646000002,"Sterling Heights, Precinct 2",254,,,1,113,63,77
997646000003,"Sterling Heights, Precinct 3",262,,,2,110,72,78
997646000004,"Sterling Heights, Precinct 4",259,,,0,87,96,76
997646000005,"Sterling Heights, Precinct 5",215,,,0,92,61,62
997646000006,"Sterling Heights, Precinct 6",216,,,0,108,62,46
997646000007,"Sterling Heights, Precinct 7",193,,,3,64,67,59
997646000008,"Sterling Heights, Precinct 8",195,,,1,80,53,61
997646000009,"Sterling Heights, Precinct 9",264,,,0,109,85,70
997646000010,"Sterling Heights, Precinct 10",226,,,0,100,60,66
997646000011,"Sterling Heights, Precinct 11",309,,,1,135,74,99
997646000012,"Sterling Heights, Precinct 12",173,,,2,82,57,32
997646000013,"Sterling Heights, Precinct 13",222,,,1,78,77,66
997646000014,"Sterling Heights, Precinct 14",596,,,0,249,152,195
997646000015,"Sterling Heights, Precinct 15",228,,,1,98,73,56
997646000017,"Sterling Heights, Precinct 17",114,,,1,47,34,32
997646000018,"Sterling Heights, Precinct 18",178,,,0,80,55,43
997646000019,"Sterling Heights, Precinct 19",154,,,0,70,46,38
997646000020,"Sterling Heights, Precinct 20",175,,,0,77,41,57
997646000021,"Sterling Heights, Precinct 21",496,,,0,196,140,160
997646000022,"Sterling Heights, Precinct 22",246,,,0,116,63,67
997646000023,"Sterling Heights, Precinct 23",257,,,0,106,72,79
997646000025,"Sterling Heights, Precinct 25",124,,,0,59,23,42
997646000026,"Sterling Heights, Precinct 26",220,,,0,80,91,49
997646000027,"Sterling Heights, Precinct 27",226,,,0,96,69,61
997646000028,"Sterling Heights, Precinct 28",250,,,0,113,64,73
997646000029,"Sterling Heights, Precinct 29",297,,,0,143,67,87
997646000030,"Sterling Heights, Precinct 30",265,,,0,113,76,76
997646000031,"Sterling Heights, Precinct 31",257,,,0,112,54,91
997646000032,"Sterling Heights, Precinct 32",198,,,1,97,50,50
997646000033,"Sterling Heights, Precinct 33",121,,,0,47,35,39
997646000034,"Sterling Heights, Precinct 34",273,,,1,107,80,85
997646000035,"Sterling Heights, Precinct 35",253,,,2,117,86,48
