id,name,total,over_votes,under_votes,Write-in,Lisa McClain
995296000001,"Memphis, Precinct 1",86,,,0,86
995710000001,"New Baltimore, Precinct 1",200,,,0,200
995710000002,"New Baltimore, Precinct 2",182,,,2,180
995710000003,"New Baltimore, Precinct 3",356,,,1,355
995710000004,"New Baltimore, Precinct 4",286,,,3,283
995710000005,"New Baltimore, Precinct 5",319,,,3,316
996838000001,"Richmond, Precinct 1",390,,,0,390
996838000002,"Richmond, Precinct 2",317,,,1,316
990354000001,"Armada Township, Precinct 1",444,,,5,439
990354000002,"Armada Township, Precinct 2",320,,,1,319
991130000001,"Bruce Township, Precinct 1",216,,,1,215
991130000002,"Bruce Township, Precinct 2",442,,,1,441
991130000003,"Bruce Township, Precinct 3",367,,,3,364
991130000004,"Bruce Township, Precinct 4",381,,,3,378
991534000001,"Chesterfield Township, Precinct 1",615,,,3,612
991534000002,"Chesterfield Township, Precinct 2",492,,,3,489
991534000003,"Chesterfield Township, Precinct 3",890,,,4,886
991534000004,"Chesterfield Township, Precinct 4",715,,,6,709
991534000005,"Chesterfield Township, Precinct 5",514,,,2,512
991534000006,"Chesterfield Township, Precinct 6",495,,,6,489
991534000007,"Chesterfield Township, Precinct 7",258,,,2,256
991534000008,"Chesterfield Township, Precinct 8",269,,,1,268
991534000009,"Chesterfield Township, Precinct 9",562,,,1,561
991534000010,"Chesterfield Township, Precinct 10",563,,,4,559
994690000001,"Lenox Township, Precinct 1",270,,,1,269
994690000002,"Lenox Township, Precinct 2",370,,,4,366
994690000003,"Lenox Township, Precinct 3",231,,,4,227
994690000004,"Lenox Township, Precinct 4",93,,,2,91
995048000003,"Macomb Township, Precinct 3",275,,,1,274
995048000004,"Macomb Township, Precinct 4",304,,,1,303
995048000005,"Macomb Township, Precinct 5",695,,,1,694
995048000006,"Macomb Township, Precinct 6",155,,,3,152
995048000009,"Macomb Township, Precinct 9",537,,,1,536
995048000010,"Macomb Township, Precinct 10",287,,,0,287
995048000012,"Macomb Township, Precinct 12",51,,,0,51
995048000013,"Macomb Township, Precinct 13",524,,,2,522
995048000014,"Macomb Township, Precinct 14",558,,,2,556
995048000015,"Macomb Township, Precinct 15",534,,,3,531
995048000016,"Macomb Township, Precinct 16",422,,,1,421
995048000017,"Macomb Township, Precinct 17",216,,,1,215
995048000018,"Macomb Township, Precinct 18",561,,,1,560
995048000019,"Macomb Township, Precinct 19",691,,,4,687
995048000020,"Macomb Township, Precinct 20",323,,,3,320
995048000021,"Macomb Township, Precinct 21",331,,,1,330
995048000022,"Macomb Township, Precinct 22",354,,,0,354
995048000023,"Macomb Township, Precinct 23",146,,,0,146
995048000024,"Macomb Township, Precinct 24",289,,,1,288
996742000001,"Ray Township, Precinct 1",327,,,0,327
996742000002,"Ray Township, Precinct 2",407,,,1,406
996840000001,"Richmond Township, Precinct 1",285,,,3,282
996840000002,"Richmond Township, Precinct 2",305,,,5,300
998412000001,"Washington Township, Precinct 1",636,,,1,635
998412000002,"Washington Township, Precinct 2",483,,,1,482
998412000003,"Washington Township, Precinct 3",475,,,2,473
998412000004,"Washington Township, Precinct 4",958,,,0,958
998412000005,"Washington Township, Precinct 5",466,,,2,464
998412000006,"Washington Township, Precinct 6",678,,,3,675
998412000007,"Washington Township, Precinct 7",583,,,1,582
