id,name,total,over_votes,under_votes,Write-in,Ray Pooley
995296000001,"Memphis, Precinct 1",43,,,2,41
995710000001,"New Baltimore, Precinct 1",182,,,2,180
995710000002,"New Baltimore, Precinct 2",143,,,1,142
995710000003,"New Baltimore, Precinct 3",347,,,3,344
995710000004,"New Baltimore, Precinct 4",308,,,2,306
995710000005,"New Baltimore, Precinct 5",273,,,2,271
996838000001,"Richmond, Precinct 1",247,,,0,247
996838000002,"Richmond, Precinct 2",253,,,1,252
990354000001,"Armada Township, Precinct 1",288,,,1,287
990354000002,"Armada Township, Precinct 2",177,,,0,177
991130000001,"Bruce Township, Precinct 1",199,,,4,195
991130000002,"Bruce Township, Precinct 2",269,,,1,268
991130000003,"Bruce Township, Precinct 3",237,,,3,234
991130000004,"Bruce Township, Precinct 4",204,,,0,204
991534000001,"Chesterfield Township, Precinct 1",547,,,3,544
991534000002,"Chesterfield Township, Precinct 2",430,,,5,425
991534000003,"Chesterfield Township, Precinct 3",633,,,6,627
991534000004,"Chesterfield Township, Precinct 4",620,,,11,609
991534000005,"Chesterfield Township, Precinct 5",460,,,2,458
991534000006,"Chesterfield Township, Precinct 6",426,,,1,425
991534000007,"Chesterfield Township, Precinct 7",345,,,4,341
991534000008,"Chesterfield Township, Precinct 8",298,,,3,295
991534000009,"Chesterfield Township, Precinct 9",696,,,5,691
991534000010,"Chesterfield Township, Precinct 10",525,,,6,519
994690000001,"Lenox Township, Precinct 1",123,,,1,122
994690000002,"Lenox Township, Precinct 2",268,,,3,265
994690000003,"Lenox Township, Precinct 3",362,,,5,357
994690000004,"Lenox Township, Precinct 4",150,,,2,148
995048000003,"Macomb Township, Precinct 3",463,,,5,458
995048000004,"Macomb Township, Precinct 4",432,,,5,427
995048000005,"Macomb Township, Precinct 5",628,,,3,625
995048000006,"Macomb Township, Precinct 6",200,,,2,198
995048000009,"Macomb Township, Precinct 9",519,,,9,510
995048000010,"Macomb Township, Precinct 10",376,,,1,375
995048000012,"Macomb Township, Precinct 12",151,,,7,144
995048000013,"Macomb Township, Precinct 13",448,,,3,445
995048000014,"Macomb Township, Precinct 14",512,,,8,504
995048000015,"Macomb Township, Precinct 15",615,,,4,611
995048000016,"Macomb Township, Precinct 16",388,,,2,386
995048000017,"Macomb Township, Precinct 17",194,,,0,194
995048000018,"Macomb Township, Precinct 18",435,,,3,432
995048000019,"Macomb Township, Precinct 19",515,,,8,507
995048000020,"Macomb Township, Precinct 20",315,,,9,306
995048000021,"Macomb Township, Precinct 21",324,,,2,322
995048000022,"Macomb Township, Precinct 22",299,,,2,297
995048000023,"Macomb Township, Precinct 23",161,,,2,159
995048000024,"Macomb Township, Precinct 24",228,,,0,228
996742000001,"Ray Township, Precinct 1",125,,,1,124
996742000002,"Ray Township, Precinct 2",168,,,0,168
996840000001,"Richmond Township, Precinct 1",116,,,0,116
996840000002,"Richmond Township, Precinct 2",142,,,3,139
998412000001,"Washington Township, Precinct 1",465,,,2,463
998412000002,"Washington Township, Precinct 2",288,,,3,285
998412000003,"Washington Township, Precinct 3",318,,,1,317
998412000004,"Washington Township, Precinct 4",451,,,0,451
998412000005,"Washington Township, Precinct 5",402,,,2,400
998412000006,"Washington Township, Precinct 6",517,,,5,512
998412000007,"Washington Township, Precinct 7",366,,,1,365
