id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
,"City of Hillsdale, Ward I, Precinct 1",49,,,0,22,25,2
,"City of Hillsdale, Ward II, Precinct 1",50,,,0,29,19,2
,"City of Hillsdale, Ward III, Precinct 1",116,,,0,66,47,3
,"City of Hillsdale, Ward IV, Precinct 1",130,,,0,61,57,12
594192000001,"City of Jonesville, Precinct 1",161,,,0,75,79,7
594798000001,"City of Litchfield, Precinct 1",79,,,0,40,37,2
596750000001,"City of Reading, Precinct 1",55,,,0,25,25,5
590030000001,"Adams Township, Precinct 1",126,,,0,47,71,8
590132000001,"Allen Township, Precinct 1",82,,,0,35,38,9
590202000001,"Amboy Township, Precinct 1",73,,,0,24,46,3
591270000001,"Cambria Township, Precinct 1",126,,,0,40,80,6
591278000001,"Camden Township, Precinct 1",77,,,0,33,39,5
592758000001,"Fayette Township, Precinct 1",78,,,0,28,43,7
593848000001,"Hillsdale Township, Precinct 1",143,,,0,69,66,8
594162000001,"Jefferson Township, Precinct 1",162,,,0,70,83,9
594800000001,"Litchfield Township, Precinct 1",45,,,0,15,28,2
595564000001,"Moscow Township, Precinct 1",95,,,0,38,52,5
596462000001,"Pittsford Township, Precinct 1",66,,,0,29,33,4
596712000001,"Ransom Township, Precinct 1",38,,,0,20,12,6
596752000001,"Reading Township, Precinct 1",145,,,0,53,76,16
597198000001,"Scipio Township, Precinct 1",95,,,0,45,45,5
597456000001,"Somerset Township, Precinct 1",50,,,0,28,22,0
597456000002,"Somerset Township, Precinct 2",79,,,0,31,45,3
598654000001,"Wheatland Township, Precinct 1",71,,,0,40,28,3
598830000001,"Woodbridge Township, Precinct 1",33,,,0,18,13,2
598878000001,"Wright Township, Precinct 1",77,,,0,36,36,5
