id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
,"City of Hillsdale, Ward I, Precinct 1",56,,,0,27,27,2
,"City of Hillsdale, Ward II, Precinct 1",54,,,0,33,19,2
,"City of Hillsdale, Ward III, Precinct 1",125,,,0,71,51,3
,"City of Hillsdale, Ward IV, Precinct 1",139,,,0,70,57,12
594192000001,"City of Jonesville, Precinct 1",170,,,0,82,81,7
594798000001,"City of Litchfield, Precinct 1",83,,,0,43,38,2
596750000001,"City of Reading, Precinct 1",59,,,0,29,25,5
590030000001,"Adams Township, Precinct 1",135,,,0,51,74,10
590132000001,"Allen Township, Precinct 1",90,,,0,39,42,9
590202000001,"Amboy Township, Precinct 1",74,,,0,25,46,3
591270000001,"Cambria Township, Precinct 1",134,,,0,46,82,6
591278000001,"Camden Township, Precinct 1",77,,,0,33,39,5
592758000001,"Fayette Township, Precinct 1",79,,,0,29,43,7
593848000001,"Hillsdale Township, Precinct 1",161,,,0,80,70,11
594162000001,"Jefferson Township, Precinct 1",168,,,0,74,85,9
594800000001,"Litchfield Township, Precinct 1",45,,,0,15,28,2
595564000001,"Moscow Township, Precinct 1",96,,,0,38,52,6
596462000001,"Pittsford Township, Precinct 1",69,,,0,32,33,4
596712000001,"Ransom Township, Precinct 1",39,,,0,21,12,6
596752000001,"Reading Township, Precinct 1",149,,,0,57,76,16
597198000001,"Scipio Township, Precinct 1",97,,,0,47,45,5
597456000001,"Somerset Township, Precinct 1",226,,,0,81,127,18
597456000002,"Somerset Township, Precinct 2",256,,,0,84,149,23
598654000001,"Wheatland Township, Precinct 1",76,,,0,42,31,3
598830000001,"Woodbridge Township, Precinct 1",36,,,0,21,13,2
598878000001,"Wright Township, Precinct 1",78,,,0,37,36,5
