id,name,Tom Barrett,Write-in
1551830000001,"City of Corunna, Precinct 1",215,1
1552350000001,"City of Durand, Precinct 1",127,0
1552350000002,"City of Durand, Precinct 2",146,0
1554420000001,"City of Laingsburg, Precinct 1",92,0
1556194000001,"City of Owosso, Precinct 1",288,3
1556194002001,"City of Owosso, Precinct 2",307,1
1556194000003,"City of Owosso, Precinct 3",184,1
1556194000004,"City of Owosso, Precinct 4",154,1
1556194000005,"City of Owosso, Precinct 5",157,2
1556194000006,"City of Owosso, Precinct 6",194,0
1556370000001,"City of Perry, Precinct 1",180,0
1550312000001,"Antrim Township, Precinct 1",317,1
1550728000001,"Bennington Township, Precinct 1",538,1
1551188000001,"Burns Township, Precinct 1",465,1
1551252000001,"Caledonia Charter Township, Precinct 1",482,4
1552704000001,"Fairfield Township, Precinct 1",59,0
1553744000001,"Hazelton Township, Precinct 1",251,0
1555368000001,"Middlebury Township, Precinct 1",174,4
1555740000001,"New Haven Township, Precinct 1",168,0
1556196000001,"Owosso Charter Township, Precinct 1",431,6
1556196000002,"Owosso Charter Township, Precinct 2",349,1
1556372000001,"Perry Township, Precinct 1",202,1
1556372000002,"Perry Township, Precinct 2",280,2
1557026000001,"Rush Township, Precinct 1",203,4
1557196000001,"Sciota Township, Precinct 1",183,1
1557352000001,"Shiawassee Township, Precinct 1",399,0
1558188000001,"Venice Township, Precinct 1",241,2
1558204000001,"Vernon Township, Precinct 1",286,0
1558204000002,"Vernon Township, Precinct 2",193,1
1558840000001,"Woodhull Township, Precinct 1",415,1
