id,name,Tom Barrett,Write-in
1551830000001,"City of Corunna, Precinct 1",192,1
1552350000001,"City of Durand, Precinct 1",81,0
1552350000002,"City of Durand, Precinct 2",67,0
1554420000001,"City of Laingsburg, Precinct 1",89,0
1556194000001,"City of Owosso, Precinct 1",170,3
1556194002001,"City of Owosso, Precinct 2",152,1
1556194000003,"City of Owosso, Precinct 3",122,1
1556194000004,"City of Owosso, Precinct 4",105,0
1556194000005,"City of Owosso, Precinct 5",96,0
1556194000006,"City of Owosso, Precinct 6",133,0
1556370000001,"City of Perry, Precinct 1",177,0
1550312000001,"Antrim Township, Precinct 1",79,1
1550728000001,"Bennington Township, Precinct 1",323,1
1551188000001,"Burns Township, Precinct 1",254,1
1551252000001,"Caledonia Charter Township, Precinct 1",248,3
1552704000001,"Fairfield Township, Precinct 1",59,0
1553744000001,"Hazelton Township, Precinct 1",248,0
1555368000001,"Middlebury Township, Precinct 1",170,4
1555740000001,"New Haven Township, Precinct 1",151,0
1556196000001,"Owosso Charter Township, Precinct 1",267,5
1556196000002,"Owosso Charter Township, Precinct 2",204,0
1556372000001,"Perry Township, Precinct 1",100,1
1556372000002,"Perry Township, Precinct 2",183,2
1557026000001,"Rush Township, Precinct 1",195,4
1557196000001,"Sciota Township, Precinct 1",109,0
1557352000001,"Shiawassee Township, Precinct 1",383,0
1558188000001,"Venice Township, Precinct 1",231,2
1558204000001,"Vernon Township, Precinct 1",184,0
1558204000002,"Vernon Township, Precinct 2",131,1
1558840000001,"Woodhull Township, Precinct 1",193,0
