id,name,Bridget Brink,William Lawrence,Matt Maasdam,Write-in
1551830000001,"City of Corunna, Precinct 1",128,129,114,1
1552350000001,"City of Durand, Precinct 1",56,51,52,1
1552350000002,"City of Durand, Precinct 2",61,82,64,1
1554420000001,"City of Laingsburg, Precinct 1",51,58,56,1
1556194000001,"City of Owosso, Precinct 1",161,201,127,2
1556194002001,"City of Owosso, Precinct 2",144,140,155,4
1556194000003,"City of Owosso, Precinct 3",111,114,84,2
1556194000004,"City of Owosso, Precinct 4",86,110,55,2
1556194000005,"City of Owosso, Precinct 5",79,95,78,0
1556194000006,"City of Owosso, Precinct 6",94,101,73,1
1556370000001,"City of Perry, Precinct 1",71,86,83,0
1550312000001,"Antrim Township, Precinct 1",68,61,71,0
1550728000001,"Bennington Township, Precinct 1",159,126,115,2
1551188000001,"Burns Township, Precinct 1",131,127,104,0
1551252000001,"Caledonia Charter Township, Precinct 1",251,161,208,3
1552704000001,"Fairfield Township, Precinct 1",27,17,18,0
1553744000001,"Hazelton Township, Precinct 1",102,90,66,0
1555368000001,"Middlebury Township, Precinct 1",35,37,52,0
1555740000001,"New Haven Township, Precinct 1",75,55,47,0
1556196000001,"Owosso Charter Township, Precinct 1",150,132,103,0
1556196000002,"Owosso Charter Township, Precinct 2",131,89,107,0
1556372000001,"Perry Township, Precinct 1",78,71,62,1
1556372000002,"Perry Township, Precinct 2",57,83,76,0
1557026000001,"Rush Township, Precinct 1",71,46,37,1
1557196000001,"Sciota Township, Precinct 1",82,98,107,0
1557352000001,"Shiawassee Township, Precinct 1",129,105,124,1
1558188000001,"Venice Township, Precinct 1",81,51,76,1
1558204000001,"Vernon Township, Precinct 1",100,67,96,2
1558204000002,"Vernon Township, Precinct 2",80,81,50,0
1558840000001,"Woodhull Township, Precinct 1",175,209,226,0
