id,name,total,over_votes,under_votes,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt
1391802000001,"City of Coopersville, Precinct 1",317,,,0,46,147,121,3
1392796000001,"City of Ferrysburg, Precinct 1",210,,,0,18,119,68,5
1393334000001,"City of Grand Haven, Precinct 1",131,,,0,14,68,48,1
1393334000002,"City of Grand Haven, Precinct 2",152,,,0,13,83,52,4
1393334000003,"City of Grand Haven, Precinct 3",183,,,0,27,97,55,4
1393334000004,"City of Grand Haven, Precinct 4",162,,,0,11,90,59,2
1393864001001,"City of Holland, Ward 1, Precinct 1",200,,,0,17,117,65,1
1393864001002,"City of Holland, Ward 1, Precinct 2",118,,,0,16,64,35,3
1393864002003,"City of Holland, Ward 2, Precinct 3",113,,,0,16,48,47,2
1393864003004,"City of Holland, Ward 3, Precinct 4",94,,,0,5,52,36,1
1393864003005,"City of Holland, Ward 3, Precinct 5",84,,,0,6,48,29,1
1393864004006,"City of Holland, Ward 4, Precinct 6",276,,,0,29,159,81,7
1393864006010,"City of Holland, Ward 6, Precinct 10",71,,,0,7,45,16,3
1393864006011,"City of Holland, Ward 6, Precinct 11",206,,,0,21,116,68,1
1393980001001,"City of Hudsonville, Ward 1, Precinct 1",180,,,0,4,95,79,2
1393980002001,"City of Hudsonville, Ward 2, Precinct 1",173,,,0,8,97,67,1
1393980003001,"City of Hudsonville, Ward 3, Precinct 1",276,,,0,14,134,126,2
1398926000001,"City of Zeeland, Precinct 1",256,,,0,21,138,94,3
1398926000002,"City of Zeeland, Precinct 2",166,,,0,16,103,46,1
1390894000001,"Blendon Township, Precinct 1",422,,,0,28,191,193,10
1390894000002,"Blendon Township, Precinct 2",657,,,0,32,285,335,5
1391530000001,"Chester Township, Precinct 1",395,,,0,35,209,146,5
1391880000001,"Crockery Township, Precinct 1",256,,,0,27,127,99,3
1391880000002,"Crockery Township, Precinct 2",145,,,0,7,72,63,3
1393336000001,"Grand Haven Charter Township, Precinct 1",164,,,0,12,93,58,1
1393336000002,"Grand Haven Charter Township, Precinct 2",106,,,0,16,59,31,0
1393336000003,"Grand Haven Charter Township, Precinct 3",163,,,0,12,98,50,3
1393336000004,"Grand Haven Charter Township, Precinct 4",130,,,0,13,61,54,2
1393336000005,"Grand Haven Charter Township, Precinct 5",158,,,0,17,93,46,2
1393336000006,"Grand Haven Charter Township, Precinct 6",96,,,0,11,47,35,3
1393336000007,"Grand Haven Charter Township, Precinct 7",209,,,0,13,120,75,1
1393866000001,"Holland Charter Township, Precinct 1",134,,,0,20,58,56,0
1393866000002,"Holland Charter Township, Precinct 2",68,,,0,7,34,27,0
1393866000003,"Holland Charter Township, Precinct 3",187,,,0,19,102,63,3
1393866000004,"Holland Charter Township, Precinct 4",93,,,0,8,52,32,1
1393866000005,"Holland Charter Township, Precinct 5",303,,,0,31,166,102,4
1393866000006,"Holland Charter Township, Precinct 6",123,,,0,9,61,50,3
1393866000007,"Holland Charter Township, Precinct 7",184,,,0,14,101,69,0
1393866000008,"Holland Charter Township, Precinct 8",93,,,0,10,58,24,1
1393866000009,"Holland Charter Township, Precinct 9",290,,,0,26,174,89,1
1393866000010,"Holland Charter Township, Precinct 10",109,,,0,6,57,41,5
1393866000011,"Holland Charter Township, Precinct 11",106,,,0,6,65,33,2
1393866000012,"Holland Charter Township, Precinct 12",269,,,0,14,166,88,1
1396046000001,"Olive Township, Precinct 1",201,,,0,11,116,71,3
1396046000002,"Olive Township, Precinct 2",277,,,0,24,125,120,8
1396246000001,"Park Township, Precinct 1",322,,,0,34,181,102,5
1396246000002,"Park Township, Precinct 2",151,,,0,18,85,46,2
1396246000003,"Park Township, Precinct 3",359,,,0,41,178,137,3
1396246000004,"Park Township, Precinct 4",187,,,0,19,97,68,3
1396246000005,"Park Township, Precinct 5",342,,,0,22,193,125,2
1396246000006,"Park Township, Precinct 6",224,,,0,18,130,71,5
1396532000001,"Polkton Charter Township, Precinct 1",547,,,0,40,222,275,10
1396594000001,"Port Sheldon Township, Precinct 1",245,,,0,14,127,103,1
1396594000002,"Port Sheldon Township, Precinct 2",173,,,0,18,87,65,3
1396900000001,"Robinson Township, Precinct 1",198,,,0,13,96,89,0
1396900000002,"Robinson Township, Precinct 2",199,,,0,11,85,103,0
1396900000003,"Robinson Township, Precinct 3",207,,,0,14,111,78,4
1397584000001,"Spring Lake Township, Precinct 1",165,,,0,16,92,55,2
1397584000002,"Spring Lake Township, Precinct 2",198,,,0,25,93,76,4
1397584000003,"Spring Lake Township, Precinct 3",208,,,0,22,113,70,3
1397584000004,"Spring Lake Township, Precinct 4",198,,,0,28,117,52,1
1397584000005,"Spring Lake Township, Precinct 5",256,,,0,25,159,69,3
1397584000006,"Spring Lake Township, Precinct 6",100,,,0,12,50,37,1
1397798000001,"Tallmadge Charter Township, Precinct 1",210,,,0,15,97,96,2
1397798000002,"Tallmadge Charter Township, Precinct 2",217,,,0,22,113,80,2
1397798000003,"Tallmadge Charter Township, Precinct 3",275,,,0,12,128,134,1
1398882000001,"Wright Township, Precinct 1",362,,,0,27,193,139,3
1398928000001,"Zeeland Charter Township, Precinct 1",322,,,0,18,183,117,4
1398928000002,"Zeeland Charter Township, Precinct 2",296,,,0,24,171,98,3
1398928000003,"Zeeland Charter Township, Precinct 3",324,,,0,11,221,92,0
1398928000004,"Zeeland Charter Township, Precinct 4",292,,,0,14,176,101,1
