id,name,total,over_votes,under_votes,Write-in,Ryan Cushman,Terri DeBoer
1391802000001,"City of Coopersville, Precinct 1",554,,,0,143,411
1392796000001,"City of Ferrysburg, Precinct 1",476,,,0,103,373
1393334000001,"City of Grand Haven, Precinct 1",264,,,0,58,206
1393334000002,"City of Grand Haven, Precinct 2",340,,,0,60,280
1393334000003,"City of Grand Haven, Precinct 3",459,,,0,103,356
1393334000004,"City of Grand Haven, Precinct 4",286,,,0,60,226
1391880000001,"Crockery Township, Precinct 1",444,,,0,93,351
1391880000002,"Crockery Township, Precinct 2",270,,,0,59,211
1393336000001,"Grand Haven Charter Township, Precinct 1",391,,,0,68,323
1393336000002,"Grand Haven Charter Township, Precinct 2",229,,,0,53,176
1393336000003,"Grand Haven Charter Township, Precinct 3",489,,,0,92,397
1393336000004,"Grand Haven Charter Township, Precinct 4",307,,,0,64,243
1393336000005,"Grand Haven Charter Township, Precinct 5",495,,,0,82,413
1393336000006,"Grand Haven Charter Township, Precinct 6",218,,,0,53,165
1393336000007,"Grand Haven Charter Township, Precinct 7",470,,,0,99,371
1396532000001,"Polkton Charter Township, Precinct 1",594,,,0,127,467
1396900000001,"Robinson Township, Precinct 1",396,,,0,86,310
1396900000002,"Robinson Township, Precinct 2",337,,,0,88,249
1396900000003,"Robinson Township, Precinct 3",331,,,0,68,263
1397584000001,"Spring Lake Township, Precinct 1",363,,,0,107,256
1397584000002,"Spring Lake Township, Precinct 2",328,,,0,65,263
1397584000003,"Spring Lake Township, Precinct 3",466,,,0,119,347
1397584000004,"Spring Lake Township, Precinct 4",382,,,0,85,297
1397584000005,"Spring Lake Township, Precinct 5",491,,,0,111,380
1397584000006,"Spring Lake Township, Precinct 6",194,,,0,44,150
1397798000001,"Tallmadge Charter Township, Precinct 1",520,,,0,110,410
1397798000002,"Tallmadge Charter Township, Precinct 2",551,,,0,109,442
1397798000003,"Tallmadge Charter Township, Precinct 3",634,,,0,127,507
1398882000001,"Wright Township, Precinct 1",621,,,0,125,496
