id,name,total,over_votes,under_votes,Write-in,Bill Huizenga,Philip Tanis
1393864001001,"City of Holland, Ward 1, Precinct 1",176,,,0,132,44
1393864001002,"City of Holland, Ward 1, Precinct 2",156,,,0,106,50
1393864002003,"City of Holland, Ward 2, Precinct 3",241,,,0,135,106
1393864003004,"City of Holland, Ward 3, Precinct 4",52,,,0,39,13
1393864003005,"City of Holland, Ward 3, Precinct 5",37,,,0,16,21
1393864004006,"City of Holland, Ward 4, Precinct 6",260,,,0,184,76
1393864006010,"City of Holland, Ward 6, Precinct 10",52,,,0,29,23
1393864006011,"City of Holland, Ward 6, Precinct 11",249,,,0,167,82
1393980001001,"City of Hudsonville, Ward 1, Precinct 1",208,,,0,177,31
1393980002001,"City of Hudsonville, Ward 2, Precinct 1",198,,,0,168,30
1393980003001,"City of Hudsonville, Ward 3, Precinct 1",290,,,0,247,43
1398926000001,"City of Zeeland, Precinct 1",481,,,0,380,101
1398926000002,"City of Zeeland, Precinct 2",113,,,0,77,36
1390894000001,"Blendon Township, Precinct 1",243,,,0,207,36
1390894000002,"Blendon Township, Precinct 2",644,,,0,548,96
1393866000001,"Holland Charter Township, Precinct 1",103,,,0,86,17
1393866000002,"Holland Charter Township, Precinct 2",56,,,0,49,7
1393866000003,"Holland Charter Township, Precinct 3",223,,,0,169,54
1393866000004,"Holland Charter Township, Precinct 4",179,,,0,138,41
1393866000005,"Holland Charter Township, Precinct 5",356,,,0,265,91
1393866000006,"Holland Charter Township, Precinct 6",118,,,0,96,22
1393866000007,"Holland Charter Township, Precinct 7",186,,,0,147,39
1393866000008,"Holland Charter Township, Precinct 8",28,,,0,20,8
1393866000009,"Holland Charter Township, Precinct 9",352,,,0,251,101
1393866000010,"Holland Charter Township, Precinct 10",127,,,0,99,28
1393866000011,"Holland Charter Township, Precinct 11",70,,,0,59,11
1393866000012,"Holland Charter Township, Precinct 12",163,,,0,132,31
1396046000001,"Olive Township, Precinct 1",130,,,0,109,21
1396046000002,"Olive Township, Precinct 2",265,,,0,208,57
1396246000001,"Park Township, Precinct 1",473,,,0,331,142
1396246000002,"Park Township, Precinct 2",103,,,0,76,27
1396246000003,"Park Township, Precinct 3",536,,,0,387,149
1396246000004,"Park Township, Precinct 4",232,,,0,166,66
1396246000005,"Park Township, Precinct 5",444,,,0,338,106
1396246000006,"Park Township, Precinct 6",318,,,0,236,82
1396594000001,"Port Sheldon Township, Precinct 1",347,,,0,279,68
1396594000002,"Port Sheldon Township, Precinct 2",188,,,0,138,50
1398928000001,"Zeeland Charter Township, Precinct 1",182,,,0,154,28
1398928000002,"Zeeland Charter Township, Precinct 2",388,,,0,299,89
1398928000003,"Zeeland Charter Township, Precinct 3",278,,,0,217,61
1398928000004,"Zeeland Charter Township, Precinct 4",207,,,0,156,51
