id,name,total,over_votes,under_votes,Write-in,Bill Huizenga,Philip Tanis
1393864001001,"City of Holland, Ward 1, Precinct 1",207,,,0,150,57
1393864001002,"City of Holland, Ward 1, Precinct 2",122,,,0,94,28
1393864002003,"City of Holland, Ward 2, Precinct 3",117,,,0,84,33
1393864003004,"City of Holland, Ward 3, Precinct 4",93,,,0,77,16
1393864003005,"City of Holland, Ward 3, Precinct 5",91,,,0,56,35
1393864004006,"City of Holland, Ward 4, Precinct 6",284,,,0,200,84
1393864006010,"City of Holland, Ward 6, Precinct 10",77,,,0,56,21
1393864006011,"City of Holland, Ward 6, Precinct 11",211,,,0,159,52
1393980001001,"City of Hudsonville, Ward 1, Precinct 1",182,,,0,161,21
1393980002001,"City of Hudsonville, Ward 2, Precinct 1",174,,,0,149,25
1393980003001,"City of Hudsonville, Ward 3, Precinct 1",274,,,0,245,29
1398926000001,"City of Zeeland, Precinct 1",252,,,0,216,36
1398926000002,"City of Zeeland, Precinct 2",173,,,0,135,38
1390894000001,"Blendon Township, Precinct 1",428,,,0,357,71
1390894000002,"Blendon Township, Precinct 2",658,,,0,564,94
1393866000001,"Holland Charter Township, Precinct 1",133,,,0,106,27
1393866000002,"Holland Charter Township, Precinct 2",68,,,0,59,9
1393866000003,"Holland Charter Township, Precinct 3",182,,,0,150,32
1393866000004,"Holland Charter Township, Precinct 4",94,,,0,80,14
1393866000005,"Holland Charter Township, Precinct 5",302,,,0,260,42
1393866000006,"Holland Charter Township, Precinct 6",123,,,0,107,16
1393866000007,"Holland Charter Township, Precinct 7",185,,,0,157,28
1393866000008,"Holland Charter Township, Precinct 8",92,,,0,73,19
1393866000009,"Holland Charter Township, Precinct 9",296,,,0,238,58
1393866000010,"Holland Charter Township, Precinct 10",109,,,0,92,17
1393866000011,"Holland Charter Township, Precinct 11",107,,,0,86,21
1393866000012,"Holland Charter Township, Precinct 12",266,,,0,221,45
1396046000001,"Olive Township, Precinct 1",200,,,0,165,35
1396046000002,"Olive Township, Precinct 2",275,,,0,227,48
1396246000001,"Park Township, Precinct 1",328,,,0,257,71
1396246000002,"Park Township, Precinct 2",151,,,0,122,29
1396246000003,"Park Township, Precinct 3",362,,,0,277,85
1396246000004,"Park Township, Precinct 4",186,,,0,158,28
1396246000005,"Park Township, Precinct 5",337,,,0,274,63
1396246000006,"Park Township, Precinct 6",230,,,0,193,37
1396594000001,"Port Sheldon Township, Precinct 1",243,,,0,205,38
1396594000002,"Port Sheldon Township, Precinct 2",175,,,0,151,24
1398928000001,"Zeeland Charter Township, Precinct 1",322,,,0,282,40
1398928000002,"Zeeland Charter Township, Precinct 2",297,,,0,237,60
1398928000003,"Zeeland Charter Township, Precinct 3",326,,,0,282,44
1398928000004,"Zeeland Charter Township, Precinct 4",289,,,0,227,62
